月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
9/1（金）,ヤクルト 2 - 3 広島,神　宮 18:00,,勝：ジョンソン 敗：星
,DeNA 0 - 3 巨人,横　浜 18:00,,勝：菅野 敗：井納
,阪神 5 - 3 中日,甲子園 18:00,,勝：岩崎 敗：又吉
,ロッテ 4 - 3 日本ハム,ZOZOマリン 18:30,,勝：酒居 敗：鍵谷
,オリックス 2 - 7 西武,ほっと神戸 18:00,,勝：野上 敗：ディクソン
,ソフトバンク 2 - 0 楽天,ヤフオクドーム 18:00,,勝：東浜 敗：岸
9/2（土）,ヤクルト 1 - 3 広島,神　宮 17:00,,勝：薮田 敗：小川
,DeNA 1 - 3 巨人,横　浜 18:00,,勝：畠 敗：石田
,阪神 9 - 2 中日,甲子園 18:00,,勝：能見 敗：小熊
,ロッテ 3 - 0 日本ハム,ZOZOマリン 17:00,,勝：涌井 敗：加藤
,オリックス 4 - 2 西武,京セラD大阪 14:00,,勝：山岡 敗：多和田
,ソフトバンク 3 - 1 楽天,ヤフオクドーム 14:00,,勝：千賀 敗：辛島
9/3（日）,ヤクルト 2 - 9 広島,神　宮 17:00,,勝：岡田 敗：山中
,DeNA 1 - 0 巨人,横　浜 18:00,,勝：濵口 敗：マシソン
,阪神 2 - 4 中日,甲子園 18:00,,勝：小笠原 敗：メンドーサ
,ロッテ 2 - 5 日本ハム,ZOZOマリン 17:00,,勝：宮西 敗：二木
,オリックス 11 - 6 西武,京セラD大阪 13:00,,勝：金田 敗：ウルフ
,ソフトバンク 1 - 0 楽天,ヤフオクドーム 13:00,,勝：モイネロ 敗：則本
9/4（月）,,,,
9/5（火）,巨人 11 - 8 中日,松　本 18:00,,勝：カミネロ 敗：福谷
,DeNA 4 - 0 ヤクルト,横　浜 18:00,,勝：ウィーランド 敗：石川
,広島 8 - 7 阪神,マツダスタジアム 18:00,,勝：中﨑 敗：ドリス
,日本ハム 1 - 6 楽天,富　山 18:00,,勝：藤平 敗：上沢
,西武 5 - 2 ロッテ,メットライフ 18:00,,勝：野田 敗：松永
,オリックス 5 - 6 ソフトバンク,京セラD大阪 18:00,,勝：石川 敗：黒木
9/6（水）,巨人 0 - 4 中日,前　橋 18:00,,勝：大野 敗：田口
,DeNA 1 - 0 ヤクルト,横　浜 18:00,,勝：田中健 敗：松岡
,広島 4 - 3 阪神,マツダスタジアム 18:00,,勝：一岡 敗：石崎
,西武 7 - 8 ロッテ,メットライフ 18:00,,勝：内 敗：増田
,オリックス 0 - 8 ソフトバンク,ほっと神戸 18:00,,勝：武田 敗：山田
9/7（木）,DeNA 1 - 11 ヤクルト,横　浜 18:00,,勝：ギルメット 敗：今永
,広島 6 - 4 阪神,マツダスタジアム 18:00,,勝：九里 敗：秋山
,日本ハム 4 - 6 楽天,東京ドーム 18:00,,勝：久保 敗：有原
,西武 3 - 0 ロッテ,メットライフ 18:00,,勝：菊池 敗：関谷
9/8（金）,巨人 4 - 1 ヤクルト,東京ドーム 18:00,,勝：菅野 敗：岩橋
,中日 0 - 3 広島,ナゴヤドーム 18:00,,勝：薮田 敗：笠原
,阪神 8 - 3 DeNA,甲子園 18:00,,勝：岩崎 敗：井納
,楽天 2 - 4 オリックス,Koboパーク宮城 18:00,,勝：金田 敗：岸
,西武 2 - 9 日本ハム,メットライフ 18:00,,勝：高梨 敗：野上
,ロッテ 4 - 6 ソフトバンク,ZOZOマリン 18:30,,勝：東浜 敗：酒居
