月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
10/1（木）,DeNA 0 - 2 ヤクルト,横　浜 18:00,,勝：歳内 敗：武藤
,阪神 2 - 0 中日,甲子園 18:00,,勝：岩田 敗：ロドリゲス
,広島 3 - 5 巨人,マツダスタジアム 18:00,,勝：サンチェス 敗：スコット
,日本ハム 3 - 2 ロッテ,札幌ドーム 18:00,,勝：杉浦 敗：岩下
,楽天 1 - 4 ソフトバンク,楽天生命パーク 18:00,,勝：石川 敗：松井
,オリックス 6 - 7 西武,京セラD大阪 18:00,,勝：宮川 敗：ヒギンス
10/2（金）,ヤクルト 5 - 7 広島,神　宮 18:00,,勝：床田 敗：クック
,DeNA 5 - 8 中日,横　浜 18:00,,勝：福 敗：石田
,阪神 4 - 1 巨人,甲子園 18:00,,勝：西勇 敗：今村
,ロッテ 0 - 1 西武,ZOZOマリン 18:00,,勝：増田 敗：澤村
,オリックス 0 - 4 楽天,京セラD大阪 18:00,,勝：松井 敗：富山
,ソフトバンク 7 - 5 日本ハム,PayPayドーム 18:00,,勝：ムーア 敗：上原
10/3（土）,ヤクルト 2 - 13 広島,神　宮 18:30,,勝：森下 敗：スアレス
,DeNA 7 - 9 中日,横　浜 14:00,,勝：福谷 敗：濵口
,阪神 4 - 7 巨人,甲子園 14:00,,勝：畠 敗：ガンケル
,ロッテ 6 - 3 西武,ZOZOマリン 14:00,,勝：唐川 敗：森脇
,オリックス 3 - 5 楽天,京セラD大阪 14:00,,勝：寺岡 敗：齋藤
,ソフトバンク 2 - 1 日本ハム,PayPayドーム 18:00,,勝：東浜 敗：有原
10/4（日）,ヤクルト 4 - 6 広島,神　宮 18:30,,勝：中村祐 敗：吉田大喜
,DeNA 9 - 3 中日,横　浜 14:00,,勝：大貫 敗：松葉
,阪神 1 - 7 巨人,甲子園 14:00,,勝：大江 敗：秋山
,ロッテ 8 - 1 西武,ZOZOマリン 13:00,,勝：美馬 敗：松本
,オリックス 9 - 2 楽天,京セラD大阪 13:00,,勝：山田 敗：寺岡
,ソフトバンク 8 - 4 日本ハム,PayPayドーム 14:00,,勝：和田 敗：河野
10/5（月）,阪神 6 - 1 巨人,甲子園 18:00,,勝：髙橋 敗：桜井
10/6（火）,巨人 6 - 4 DeNA,東京ドーム 18:00,,勝：菅野 敗：坂本
,中日 4 - 0 ヤクルト,ナゴヤドーム 18:00,,勝：勝野 敗：久保
,広島 4 - 4 阪神,マツダスタジアム 18:00,,分：中田 分：スアレス
,日本ハム 5 - 3 楽天,札幌ドーム 18:00,,勝：上沢 敗：則本昂
,西武 3 - 1 ソフトバンク,メットライフ 18:00,,勝：髙橋光 敗：千賀
,ロッテ 0 - 3 オリックス,ZOZOマリン 18:00,,勝：山本 敗：石川
10/7（水）,巨人 3 - 6 DeNA,東京ドーム 18:00,,勝：平田 敗：田口
,中日 4 - 1 ヤクルト,ナゴヤドーム 18:00,,勝：大野雄 敗：石川
,広島 9 - 3 阪神,マツダスタジアム 18:00,,勝：遠藤 敗：岩田
,日本ハム 2 - 2 楽天,札幌ドーム 18:00,,分：西村 分：寺岡
,西武 4 - 3 ソフトバンク,メットライフ 18:00,,勝：平良 敗：モイネロ
,ロッテ 4 - 1 オリックス,ZOZOマリン 18:00,,勝：小島 敗：アルバース
10/8（木）,巨人 9 - 7 DeNA,東京ドーム 18:00,,勝：サンチェス 敗：井納
,広島 1 - 9 阪神,マツダスタジアム 18:00,,勝：西勇 敗：野村
,日本ハム 1 - 4 楽天,札幌ドーム 18:00,,勝：岸 敗：マルティネス
,西武 4 - 4 ソフトバンク,メットライフ 18:00,,分：ギャレット 分：高橋礼
,ロッテ 中止 オリックス,ZOZOマリン 18:00,,
10/9（金）,阪神 中止 DeNA,甲子園 18:00,,
,広島 7 - 12 ヤクルト,マツダスタジアム 18:00,,勝：梅野 敗：中田
,日本ハム 4 - 6 オリックス,札幌ドーム 18:00,,勝：田嶋 敗：杉浦
,楽天 2 - 5 西武,楽天生命パーク 18:00,,勝：ニール 敗：塩見
,ソフトバンク 1 - 3 ロッテ,PayPayドーム 18:00,,勝：二木 敗：ムーア
10/10（土）,中日 1 - 7 巨人,ナゴヤドーム 14:00,,勝：畠 敗：ロドリゲス
,阪神 3 - 5 DeNA,甲子園 14:00,,勝：伊勢 敗：ガンケル
,広島 3 - 0 ヤクルト,マツダスタジアム 18:00,,勝：森下 敗：スアレス
,日本ハム 4 - 0 オリックス,札幌ドーム 14:00,,勝：有原 敗：山岡
,楽天 ノーゲーム 西武,楽天生命パーク 14:00,,
,ソフトバンク 5 - 1 ロッテ,PayPayドーム 14:00,,勝：東浜 敗：中村稔
10/11（日）,中日 7 - 0 巨人,ナゴヤドーム 14:00,,勝：清水 敗：戸郷
,阪神 4 - 3 DeNA,甲子園 14:00,,勝：秋山 敗：上茶谷
,広島 7 - 4 ヤクルト,マツダスタジアム 13:30,,勝：中村祐 敗：小川
,日本ハム 5 - 7 オリックス,札幌ドーム 14:00,,勝：増井 敗：上原
,楽天 8 - 2 西武,楽天生命パーク 13:00,,勝：瀧中 敗：松本
,ソフトバンク 3 - 0 ロッテ,PayPayドーム 13:00,,勝：和田 敗：美馬
10/12（月）,中日 3 - 2 巨人,ナゴヤドーム 18:00,,勝：福谷 敗：桜井
,楽天 中止 西武,楽天生命パーク 17:00,,
10/13（火）,巨人 3 - 4 広島,東京ドーム 18:00,,勝：九里 敗：菅野
,ヤクルト 1 - 8 DeNA,神　宮 18:00,,勝：大貫 敗：高梨
,中日 4 - 2 阪神,ナゴヤドーム 18:00,,勝：勝野 敗：髙橋
,日本ハム 0 - 7 西武,札幌ドーム 18:00,,勝：髙橋光 敗：上沢
,ロッテ 4 - 3 楽天,ZOZOマリン 18:00,,勝：益田 敗：ブセニッツ
,オリックス 0 - 2 ソフトバンク,京セラD大阪 18:00,,勝：笠谷 敗：山本
10/14（水）,巨人 6 - 1 広島,東京ドーム 18:00,,勝：髙橋 敗：遠藤
,ヤクルト 6 - 9 DeNA,神　宮 18:00,,勝：坂本 敗：石川
,中日 3 - 0 阪神,ナゴヤドーム 18:00,,勝：大野雄 敗：青柳
,日本ハム 7 - 2 西武,札幌ドーム 18:00,,勝：バーヘイゲン 敗：浜屋
,ロッテ 1 - 4 楽天,ZOZOマリン 18:00,,勝：涌井 敗：チェン・ウェイン
,オリックス 0 - 4 ソフトバンク,京セラD大阪 18:00,,勝：千賀 敗：山﨑福
10/15（木）,巨人 5 - 5 広島,東京ドーム 18:00,,分：鍵谷 分：フランスア
,ヤクルト 4 - 3 DeNA,神　宮 18:00,,勝：吉田大喜 敗：平良
,中日 5 - 3 阪神,ナゴヤドーム 18:00,,勝：藤嶋 敗：スアレス
,日本ハム 8 - 3 西武,札幌ドーム 18:00,,勝：マルティネス 敗：ニール
,ロッテ 0 - 6 楽天,ZOZOマリン 18:00,,勝：岸 敗：小島
,オリックス 4 - 9 ソフトバンク,京セラD大阪 18:00,,勝：石川 敗：田嶋
10/16（金）,DeNA 2 - 1 巨人,横　浜 18:00,,勝：パットン 敗：ビエイラ
,阪神 5 - 0 ヤクルト,甲子園 18:00,,勝：西勇 敗：歳内
,広島 6 - 8 中日,マツダスタジアム 18:00,,勝：ロドリゲス 敗：床田
,西武 2 - 1 オリックス,メットライフ 18:00,,勝：宮川 敗：山岡
,ロッテ 5 - 1 日本ハム,ZOZOマリン 18:00,,勝：二木 敗：杉浦
,ソフトバンク 7 - 3 楽天,PayPayドーム 18:00,,勝：ムーア 敗：塩見
10/17（土）,DeNA 中止 巨人,横　浜 14:00,,
,阪神 中止 ヤクルト,甲子園 14:00,,
,広島 2 - 5 中日,マツダスタジアム 14:00,,勝：柳 敗：塹江
,西武 1 - 4 オリックス,メットライフ 14:00,,勝：張 敗：十亀
,ロッテ 中止 日本ハム,ZOZOマリン 14:00,,
,ソフトバンク 5 - 0 楽天,PayPayドーム 14:00,,勝：東浜 敗：石橋
10/18（日）,DeNA 10 - 6 巨人,横　浜 14:00,,勝：エスコバー 敗：高梨
,阪神 6 - 5 ヤクルト,甲子園 14:00,,勝：秋山 敗：小川
,広島 5 - 0 中日,マツダスタジアム 13:30,,勝：中村祐 敗：清水
,西武 3 - 2 オリックス,メットライフ 13:00,,勝：松本 敗：宮城
,ロッテ 2 - 5 日本ハム,ZOZOマリン 13:00,,勝：有原 敗：美馬
,ソフトバンク 11 - 4 楽天,PayPayドーム 13:00,,勝：モイネロ 敗：牧田
