月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
8/1（土）,巨人 11 - 3 広島,東京ドーム 14:00,,勝：田口 敗：床田
,中日 3 - 1 ヤクルト,ナゴヤドーム 14:00,,勝：勝野 敗：小川
,阪神 3 - 7 DeNA,甲子園 18:00,,勝：今永 敗：西勇
,日本ハム 3 - 1 オリックス,札幌ドーム 14:00,,勝：バーヘイゲン 敗：田嶋
,ロッテ 0 - 8 楽天,ZOZOマリン 17:00,,勝：塩見 敗：種市
,ソフトバンク 4 - 0 西武,PayPayドーム 14:00,,勝：石川 敗：本田
8/2（日）,巨人 2 - 9 広島,東京ドーム 14:00,,勝：遠藤 敗：桜井
,中日 0 - 0 ヤクルト,ナゴヤドーム 14:00,,分：梅津 分：石山
,阪神 3 - 1 DeNA,甲子園 18:00,,勝：馬場 敗：平良
,ロッテ 7 - 6 楽天,ZOZOマリン 17:00,,勝：チェン・グァンユウ 敗：酒居
,ソフトバンク 中止 西武,PayPayドーム 13:00,,
8/3（月）,,,,
8/4（火）,ヤクルト 3 - 6 広島,神　宮 18:00,,勝：塹江 敗：清水
,DeNA 3 - 0 中日,横　浜 18:00,,勝：井納 敗：福谷
,阪神 2 - 7 巨人,甲子園 18:00,,勝：菅野 敗：ガルシア
,日本ハム 11 - 4 西武,札幌ドーム 18:00,,勝：上沢 敗：髙橋光
,楽天 7 - 6 ソフトバンク,楽天生命パーク 18:00,,勝：津留﨑 敗：モイネロ
,オリックス 5 - 5 ロッテ,京セラD大阪 18:00,,分：ディクソン 分：唐川
8/5（水）,ヤクルト 1 - 4 広島,神　宮 18:00,,勝：野村 敗：大西
,DeNA 8 - 2 中日,横　浜 18:00,,勝：濵口 敗：柳
,阪神 1 - 4 巨人,甲子園 18:00,,勝：戸郷 敗：藤浪
,日本ハム 2 - 7 西武,札幌ドーム 18:00,,勝：平井 敗：マルティネス
,楽天 6 - 0 ソフトバンク,楽天生命パーク 18:00,,勝：涌井 敗：和田
,オリックス 1 - 12 ロッテ,京セラD大阪 18:00,,勝：小島 敗：鈴木
8/6（木）,ヤクルト 9 - 5 広島,神　宮 18:00,,勝：マクガフ 敗：薮田
,DeNA 3 - 0 中日,横　浜 18:00,,勝：大貫 敗：松葉
,阪神 11 - 0 巨人,甲子園 18:00,,勝：髙橋 敗：メルセデス
,日本ハム 5 - 3 西武,札幌ドーム 18:00,,勝：河野 敗：與座
,楽天 1 - 3 ソフトバンク,楽天生命パーク 18:00,,勝：板東 敗：松井
,オリックス 3 - 1 ロッテ,京セラD大阪 18:00,,勝：山﨑福 敗：岩下
8/7（金）,ヤクルト 8 - 2 DeNA,神　宮 18:00,,勝：吉田大喜 敗：上茶谷
,中日 7 - 1 巨人,ナゴヤドーム 18:00,,勝：大野雄 敗：田口
,広島 11 - 6 阪神,マツダスタジアム 18:00,,勝：森下 敗：青柳
,日本ハム 3 - 2 西武,札幌ドーム 18:00,,勝：杉浦 敗：ニール
,楽天 7 - 4 ソフトバンク,楽天生命パーク 18:00,,勝：宋家豪 敗：東浜
,オリックス 3 - 6 ロッテ,京セラD大阪 18:00,,勝：石川 敗：榊原
8/8（土）,ヤクルト 4 - 5 DeNA,神　宮 18:00,,勝：今永 敗：小川
,中日 3 - 1 巨人,ナゴヤドーム 14:00,,勝：福 敗：畠
,広島 2 - 1 阪神,マツダスタジアム 18:00,,勝：大瀬良 敗：藤川
,日本ハム 7 - 6 西武,札幌ドーム 14:00,,勝：井口 敗：宮川
,楽天 4 - 2 ソフトバンク,楽天生命パーク 18:00,,勝：塩見 敗：二保
,オリックス 3 - 9 ロッテ,京セラD大阪 14:00,,勝：二木 敗：K-鈴木
8/9（日）,ヤクルト 0 - 4 DeNA,神　宮 18:00,,勝：平良 敗：山中
,中日 2 - 2 巨人,ナゴヤドーム 14:00,,分：谷元 分：田中豊
,広島 1 - 5 阪神,マツダスタジアム 18:00,,勝：秋山 敗：遠藤
,日本ハム 2 - 1 西武,札幌ドーム 13:00,,勝：バーヘイゲン 敗：本田
,楽天 0 - 5 ソフトバンク,楽天生命パーク 17:00,,勝：板東 敗：福井
,オリックス 0 - 4 ロッテ,京セラD大阪 13:00,,勝：中村稔 敗：アルバース
8/10（月）,DeNA 6 - 4 阪神,横　浜 18:00,,勝：国吉 敗：岩貞
,広島 6 - 1 中日,マツダスタジアム 18:00,,勝：九里 敗：小笠原
8/11（火）,DeNA 2 - 9 阪神,横　浜 18:00,,勝：ガルシア 敗：井納
