月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
7/1（土）,巨人 4 - 6 DeNA,東京ドーム 18:00,,勝：加賀 敗：カミネロ
,阪神 3 - 1 ヤクルト,甲子園 14:00,,勝：能見 敗：原樹
,広島 8 - 1 中日,マツダスタジアム 14:00,,勝：薮田 敗：小笠原
,楽天 9 - 10 ソフトバンク,Koboパーク宮城 14:00,,勝：五十嵐 敗：美馬
,西武 2 - 4 オリックス,メットライフ 14:00,,勝：松葉 敗：十亀
,ロッテ 7 - 3 日本ハム,ZOZOマリン 14:00,,勝：唐川 敗：村田
7/2（日）,巨人 1 - 9 DeNA,東京ドーム 14:00,,勝：今永 敗：山口俊
,阪神 5 - 4 ヤクルト,甲子園 14:00,,勝：岩貞 敗：石川
,広島 6 - 4 中日,マツダスタジアム 13:30,,勝：ジャクソン 敗：岩瀬
,楽天 4 - 5 ソフトバンク,Koboパーク宮城 13:00,,勝：モイネロ 敗：岸
,西武 3 - 6 オリックス,メットライフ 13:00,,勝：ディクソン 敗：ウルフ
,ロッテ 3 - 8 日本ハム,ZOZOマリン 14:00,,勝：上沢 敗：有吉
7/3（月）,日本ハム 4 - 11 西武,東京ドーム 18:00,,勝：岡本 敗：高梨
7/4（火）,DeNA 中止 阪神,新　潟 18:00,,
,中日 7 - 2 ヤクルト,ナゴヤドーム 18:00,,勝：鈴木 敗：山中
,広島 0 - 3 巨人,マツダスタジアム 18:00,,勝：田口 敗：野村
,日本ハム 1 - 4 西武,東京ドーム 18:00,,勝：野上 敗：加藤
,ロッテ 1 - 5 楽天,ZOZOマリン 18:15,,勝：則本 敗：二木
,ソフトバンク 4 - 0 オリックス,ヤフオクドーム 18:00,,勝：石川 敗：西
7/5（水）,DeNA 4 - 1 阪神,横　浜 18:00,,勝：濵口 敗：メッセンジャー
,中日 3 - 0 ヤクルト,ナゴヤドーム 18:00,,勝：ジョーダン 敗：星
,広島 0 - 5 巨人,マツダスタジアム 18:00,,勝：菅野 敗：岡田
,ロッテ 2 - 6 楽天,ZOZOマリン 18:30,,勝：釜田 敗：佐々木
,ソフトバンク 5 - 3 オリックス,ヤフオクドーム 18:00,,勝：嘉弥真 敗：金子千尋
7/6（木）,DeNA 5 - 10 阪神,横　浜 18:00,,勝：秋山 敗：飯塚
,中日 4 - 3 ヤクルト,ナゴヤドーム 18:00,,勝：バルデス 敗：ブキャナン
,広島 6 - 5 巨人,マツダスタジアム 18:00,,勝：一岡 敗：西村
,日本ハム 6 - 7 西武,札幌ドーム 18:00,,勝：平井 敗：宮西
7/7（金）,ヤクルト 8 - 9 広島,神　宮 18:00,,勝：ジャクソン 敗：小川
,中日 2 - 1 DeNA,ナゴヤドーム 18:00,,勝：大野 敗：ウィーランド
,阪神 1 - 5 巨人,甲子園 18:00,,勝：マイコラス 敗：小野
,日本ハム 1 - 4 ソフトバンク,札幌ドーム 18:00,,勝：東浜 敗：有原
,楽天 0 - 5 西武,Koboパーク宮城 18:00,,勝：菊池 敗：辛島
,オリックス 1 - 3 ロッテ,ほっと神戸 18:00,,勝：大谷 敗：平野
7/8（土）,ヤクルト 2 - 8 広島,神　宮 18:00,,勝：薮田 敗：石川
,中日 0 - 9 DeNA,ナゴヤドーム 14:00,,勝：井納 敗：小笠原
,阪神 1 - 8 巨人,甲子園 18:00,,勝：内海 敗：能見
,日本ハム 2 - 5 ソフトバンク,札幌ドーム 15:00,,勝：千賀 敗：井口
,楽天 4 - 2 西武,Koboパーク宮城 16:00,,勝：ハーマン 敗：シュリッター
,オリックス 2 - 6 ロッテ,ほっと神戸 15:00,,勝：唐川 敗：松葉
7/9（日）,ヤクルト 3 - 3 広島,神　宮 17:00,,分：中澤 分：九里
,中日 3 - 7 DeNA,ナゴヤドーム 14:00,,勝：久保 敗：柳
