月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
7/1（水）,巨人 3 - 5 DeNA,東京ドーム 18:00,,勝：パットン 敗：澤村
,ヤクルト 4 - 3 広島,神　宮 18:00,,勝：スアレス 敗：ジョンソン
,中日 6 - 3 阪神,ナゴヤドーム 18:00,,勝：山本 敗：秋山
,日本ハム 0 - 4 ソフトバンク,札幌ドーム 18:00,,勝：石川 敗：マルティネス
,楽天 5 - 3 ロッテ,楽天生命パーク 18:00,,勝：涌井 敗：小島
,西武 0 - 6 オリックス,メットライフ 18:00,,勝：鈴木 敗：今井
7/2（木）,巨人 5 - 3 DeNA,東京ドーム 18:00,,勝：桜井 敗：大貫
,ヤクルト 9 - 5 広島,神　宮 18:00,,勝：石山 敗：スコット
,中日 4 - 2 阪神,ナゴヤドーム 18:00,,勝：岡野 敗：ガルシア
,日本ハム 9 - 8 ソフトバンク,札幌ドーム 18:00,,勝：秋吉 敗：森
,楽天 5 - 8 ロッテ,楽天生命パーク 18:00,,勝：岩下 敗：塩見
,西武 9 - 5 オリックス,メットライフ 18:00,,勝：平井 敗：山田
7/3（金）,巨人 5 - 0 中日,東京ドーム 18:00,,勝：菅野 敗：大野雄
,ヤクルト 4 - 5 DeNA,神　宮 18:00,,勝：今永 敗：石川
,広島 中止 阪神,マツダスタジアム 18:00,,
,日本ハム 1 - 4 ソフトバンク,札幌ドーム 18:00,,勝：東浜 敗：有原
,楽天 3 - 1 ロッテ,楽天生命パーク 18:00,,勝：則本昂 敗：石川
,西武 4 - 4 オリックス,メットライフ 18:00,,分：小川 分：山田
7/4（土）,巨人 7 - 3 中日,東京ドーム 14:00,,勝：鍬原 敗：吉見
,ヤクルト 10 - 8 DeNA,神　宮 18:00,,勝：小川 敗：エスコバー
,広島 3 - 9 阪神,マツダスタジアム 14:00,,勝：岩貞 敗：大瀬良
,日本ハム 3 - 8 ソフトバンク,札幌ドーム 14:00,,勝：和田 敗：加藤
,楽天 3 - 1 ロッテ,楽天生命パーク 14:00,,勝：岸 敗：種市
,西武 3 - 4 オリックス,メットライフ 18:00,,勝：田嶋 敗：小川
7/5（日）,巨人 4 - 6 中日,東京ドーム 14:00,,勝：梅津 敗：サンチェス
,ヤクルト 1 - 8 DeNA,神　宮 17:00,,勝：平良 敗：高梨
,広島 3 - 8 阪神,マツダスタジアム 13:30,,勝：西勇 敗：遠藤
,日本ハム 5 - 3 ソフトバンク,札幌ドーム 13:00,,勝：玉井 敗：二保
,楽天 8 - 1 ロッテ,楽天生命パーク 13:00,,勝：石橋 敗：美馬
,西武 5 - 8 オリックス,メットライフ 18:00,,勝：山本 敗：與座
7/6（月）,広島 中止 阪神,マツダスタジアム 18:00,,
7/7（火）,中日 1 - 2 ヤクルト,ナゴヤドーム 18:00,,勝：寺島 敗：岡田
,阪神 中止 巨人,甲子園 18:00,,
,広島 中止 DeNA,マツダスタジアム 18:00,,
,ロッテ 8 - 6 西武,ZOZOマリン 18:00,,勝：有吉 敗：髙橋光
,オリックス 7 - 1 日本ハム,京セラD大阪 18:00,,勝：アルバース 敗：杉浦
,ソフトバンク 4 - 3 楽天,PayPayドーム 18:00,,勝：千賀 敗：弓削
7/8（水）,中日 5 - 5 ヤクルト,ナゴヤドーム 18:00,,分：R.マルティネス 分：石山
,阪神 中止 巨人,甲子園 18:00,,
,広島 6 - 3 DeNA,マツダスタジアム 18:00,,勝：塹江 敗：パットン
,ロッテ 0 - 3 西武,ZOZOマリン 18:00,,勝：今井 敗：小島
,オリックス 4 - 10 日本ハム,京セラD大阪 18:00,,勝：マルティネス 敗：鈴木
,ソフトバンク 8 - 12 楽天,PayPayドーム 18:00,,勝：涌井 敗：笠谷
7/9（木）,中日 6 - 8 ヤクルト,ナゴヤドーム 18:00,,勝：マクガフ 敗：岡田
,阪神 2 - 1 巨人,甲子園 18:00,,勝：岩崎 敗：メルセデス
,広島 1 - 5 DeNA,マツダスタジアム 18:00,,勝：井納 敗：森下
,ロッテ ノーゲーム 西武,ZOZOマリン 18:00,,
,オリックス 4 - 4 日本ハム,京セラD大阪 18:00,,分：ヒギンス 分：秋吉
,ソフトバンク 1 - 9 楽天,PayPayドーム 18:00,,勝：塩見 敗：バンデンハーク
7/10（金）,巨人 中止 ヤクルト,ほっと神戸 18:00,,
,中日 3 - 2 広島,ナゴヤドーム 18:00,,勝：R.マルティネス 敗：フランスア
,阪神 3 - 2 DeNA,甲子園 18:00,,勝：青柳 敗：大貫
,ロッテ 6 - 7 西武,ZOZOマリン 18:00,,勝：ギャレット 敗：益田
,オリックス 4 - 3 日本ハム,京セラD大阪 18:00,,勝：山田 敗：秋吉
,ソフトバンク 2 - 1 楽天,PayPayドーム 18:00,,勝：高橋礼 敗：J.T.シャギワ
7/11（土）,巨人 4 - 9 ヤクルト,ほっと神戸 18:00,,勝：小川 敗：サンチェス
,中日 4 - 19 広島,ナゴヤドーム 14:00,,勝：床田 敗：勝野
,阪神 2 - 4 DeNA,甲子園 18:00,,勝：石田 敗：藤川
,ロッテ 6 - 4 西武,ZOZOマリン 14:00,,勝：種市 敗：松本
,オリックス 5 - 3 日本ハム,京セラD大阪 14:00,,勝：ヒギンス 敗：公文
,ソフトバンク 8 - 4 楽天,PayPayドーム 18:00,,勝：二保 敗：辛島
7/12（日）,巨人 2 - 3 ヤクルト,ほっと神戸 18:00,,勝：高梨 敗：桜井
,中日 2 - 7 広島,ナゴヤドーム 14:00,,勝：遠藤 敗：梅津
,阪神 2 - 1 DeNA,甲子園 18:00,,勝：岩貞 敗：平良
