月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
7/1（金）,DeNA 2 - 6 広島,横　浜 18:00,,勝：ジョンソン 敗：井　納
,中日 7 - 2 阪神,ナゴヤドーム 18:00,,勝：ジョーダン 敗：藤　浪
,楽天 3 - 2 西武,Koboスタ宮城 18:00,,勝：則　本 敗：髙橋光
,ソフトバンク 2 - 5 日本ハム,ヤフオクドーム 18:00,,勝：高　梨 敗：和　田
7/2（土）,ヤクルト 2 - 1 巨人,秋　田 18:00,,勝：ルーキ 敗：宮　國
,DeNA 4 - 1 広島,横　浜 14:00,,勝：石　田 敗：岡　田
,中日 2 - 3 阪神,ナゴヤドーム 15:00,,勝：能　見 敗：小　熊
,楽天 7 - 5 西武,Koboスタ宮城 14:00,,勝：美　馬 敗：野　上
,ロッテ 6 - 0 オリックス,QVCマリン 14:00,,勝：石　川 敗：松　葉
,ソフトバンク 0 - 4 日本ハム,ヤフオクドーム 14:00,,勝：有　原 敗：東　浜
7/3（日）,ヤクルト 6 - 3 巨人,秋　田 14:30,,勝：ペレス 敗：マシソン
,DeNA 6 - 13 広島,横　浜 13:00,,勝：ヘーゲンズ 敗：モスコーソ
,中日 8 - 3 阪神,ナゴヤドーム 14:00,,勝：吉　見 敗：岩　貞
,楽天 3 - 4 西武,Koboスタ宮城 13:00,,勝：武　隈 敗：ミコライオ
,ロッテ 3 - 4 オリックス,QVCマリン 13:00,,勝：ディクソン 敗：大　谷
,ソフトバンク 0 - 2 日本ハム,ヤフオクドーム 13:00,,勝：大　谷 敗：中　田
7/4（月）,,,,
7/5（火）,巨人 3 - 2 阪神,東京ドーム 18:00,,勝：内　海 敗：メッセンジャー
,DeNA 4 - 0 ヤクルト,横　浜 18:00,,勝：山　口 敗：山　中
,中日 1 - 4 広島,富　山 18:00,,勝：野　村 敗：大　野
,楽天 3 - 8 日本ハム,山　形 18:00,,勝：メンドーサ 敗：塩　見
,ロッテ 2 - 1 西武,QVCマリン 18:15,,勝：益　田 敗：増　田
,オリックス 3 - 0 ソフトバンク,京セラD大阪 18:00,,勝：　西 敗：武　田
7/6（水）,巨人 3 - 1 阪神,東京ドーム 18:00,,勝：田　口 敗：岩　崎
,DeNA 8 - 7 ヤクルト,横　浜 18:00,,勝：田　中 敗：ルーキ
,中日 4 - 1 広島,金　沢 18:00,,勝：バルデス 敗：黒　田
,楽天 中止 日本ハム,Koboスタ宮城 18:00,,
,ロッテ 5 - 4 西武,QVCマリン 18:15,,勝：　南 敗：ポーリーノ
,オリックス 2 - 5 ソフトバンク,京セラD大阪 18:00,,勝：千　賀 敗：東　明
7/7（木）,巨人 0 - 6 阪神,東京ドーム 18:00,,勝：青　柳 敗：高　木
,DeNA 5 - 3 ヤクルト,横　浜 18:00,,勝：田　中 敗：村　中
,ロッテ 4 - 3 西武,QVCマリン 19:00,,勝：唐　川 敗：髙橋光
,オリックス 0 - 4 ソフトバンク,京セラD大阪 18:00,,勝：岩　嵜 敗：金子千尋
7/8（金）,巨人 3 - 1 DeNA,東京ドーム 18:00,,勝：大竹寛 敗：井　納
,ヤクルト 6 - 3 中日,神　宮 18:00,,勝：成　瀬 敗：ジョーダン
,阪神 2 - 8 広島,甲子園 18:00,,勝：ジョンソン 敗：藤　浪
,日本ハム 12 - 3 ロッテ,札幌ドーム 18:00,,勝：高　梨 敗：二　木
,西武 8 - 4 オリックス,西武プリンス 18:00,,勝：十　亀 敗：山　田
,ソフトバンク 2 - 3 楽天,ヤフオクドーム 18:00,,勝：則　本 敗：サファテ
7/9（土）,巨人 5 - 2 DeNA,東京ドーム 18:00,,勝：菅　野 敗：三　上
,ヤクルト 2 - 8 中日,神　宮 18:00,,勝：若　松 敗：由　規
,阪神 1 - 7 広島,甲子園 18:00,,勝：岡　田 敗：能　見
,日本ハム 4 - 0 ロッテ,札幌ドーム 14:00,,勝：有　原 敗：石　川
,西武 0 - 2 オリックス,西武プリンス 14:00,,勝：松　葉 敗：野　上
,ソフトバンク 6 - 2 楽天,ヤフオクドーム 14:00,,勝：東　浜 敗：美　馬
7/10（日）,巨人 10 - 7 DeNA,東京ドーム 14:00,,勝：宮　國 敗：須　田
,ヤクルト 8 - 3 中日,神　宮 17:00,,勝：杉　浦 敗：吉　見
,阪神 0 - 9 広島,甲子園 18:00,,勝：戸　田 敗：岩　貞
,日本ハム 6 - 5 ロッテ,札幌ドーム 14:00,,勝：白　村 敗：木　村
,西武 2 - 8 オリックス,西武プリンス 13:00,,勝：ディクソン 敗：多和田
,ソフトバンク 6 - 2 楽天,ヤフオクドーム 13:00,,勝：大　隣 敗：ブリガム
7/11（月）,DeNA 3 - 13 中日,横　浜 18:00,,勝：バルデス 敗：三　浦
,西武 3 - 1 楽天,西武プリンス 18:00,,勝：　岸 敗：レ　イ
,オリックス 1 - 4 日本ハム,京セラD大阪 18:00,,勝：吉　川 敗：ミッシュ
7/12（火）,ヤクルト 1 - 3 阪神,長　野 18:00,,勝：メッセンジャー 敗：平　井
,DeNA 6 - 5 中日,横　浜 18:00,,勝：山﨑康 敗：山　井
,広島 13 - 3 巨人,マツダスタジアム 18:00,,勝：野　村 敗：内　海
,西武 1 - 5 楽天,西武プリンス 18:00,,勝：塩　見 敗：ポーリーノ
,ロッテ 0 - 4 ソフトバンク,東京ドーム 18:30,,勝：武　田 敗：涌　井
,オリックス 4 - 3 日本ハム,京セラD大阪 18:00,,勝：　西 敗：白　村
7/13（水）,ヤクルト 2 - 4 阪神,神　宮 18:00,,勝：ドリス 敗：ペレス
,DeNA 7 - 2 中日,横　浜 18:00,,勝：ペトリック 敗：セプティモ
,広島 0 - 6 巨人,マツダスタジアム 18:00,,勝：田　口 敗：黒　田
,西武 3 - 4 楽天,西武プリンス 18:00,,勝：釜　田 敗：髙橋光
,ロッテ 0 - 3 ソフトバンク,QVCマリン 18:15,,勝：千　賀 敗：関　谷
,オリックス 2 - 3 日本ハム,京セラD大阪 18:00,,勝：加　藤 敗：吉田一
7/14（木）,,,,
7/15（金）,パ・リーグ 4 - 5 セ・リーグ,ヤフオクドーム 19:00,,勝：藤　浪 敗：石　川
7/16（土）,セ・リーグ 5 - 5 パ・リーグ,横　浜 18:30,,分：山﨑康 分：有　原
7/17（日）,,,,
7/18（月）,ヤクルト 9 - 3 DeNA,神　宮 17:00,,勝：石　川 敗：久保康
,阪神 1 - 2 巨人,甲子園 18:00,,勝：マシソン 敗：ドリス
,広島 3 - 2 中日,マツダスタジアム 18:00,,勝：中　﨑 敗：祖父江
,日本ハム 3 - 1 楽天,札幌ドーム 18:00,,勝：メンドーサ 敗：則　本
,西武 6 - 1 ロッテ,西武プリンス 14:00,,勝：　岸 敗：藤　岡
,ソフトバンク 0 - 6 オリックス,ヤフオクドーム 14:00,,勝：金子千尋 敗：東　浜
7/19（火）,ヤクルト 8 - 9 DeNA,神　宮 18:00,,勝：三　上 敗：秋　吉
,阪神 1 - 6 巨人,甲子園 18:00,,勝：内　海 敗：能　見
,広島 11 - 3 中日,マツダスタジアム 18:00,,勝：岡　田 敗：大　野
,西武 2 - 9 ロッテ,西武プリンス 18:00,,勝：二　木 敗：ポーリーノ
,ソフトバンク 0 - 4 オリックス,ヤフオクドーム 18:00,,勝：　西 敗：武　田
7/20（水）,ヤクルト 2 - 9 DeNA,神　宮 18:00,,勝：熊　原 敗：小　川
,阪神 2 - 6 巨人,甲子園 18:00,,勝：田原誠 敗：青　柳
,広島 6 - 7 中日,マツダスタジアム 18:00,,勝：田　島 敗：今　村
,日本ハム 9 - 3 楽天,帯　広 13:00,,勝：谷　元 敗：ブリガム
,ソフトバンク 2 - 1 オリックス,北九州 18:00,,勝：森　福 敗：山　田
7/21（木）,,,,
7/22（金）,DeNA 3 - 2 巨人,横　浜 18:00,,勝：ザガースキー 敗：山　口
,中日 3 - 6 ヤクルト,ナゴヤドーム 18:00,,勝：館　山 敗：バルデス
,広島 4 - 2 阪神,マツダスタジアム 18:00,,勝：野　村 敗：藤　浪
,日本ハム 2 - 0 オリックス,札幌ドーム 18:00,,勝：有　原 敗：松　葉
,楽天 1 - 12 ロッテ,Koboスタ宮城 18:00,,勝：石　川 敗：美　馬
,ソフトバンク 5 - 2 西武,ヤフオクドーム 18:00,,勝：和　田 敗：髙橋光
7/23（土）,DeNA 6 - 4 巨人,横　浜 17:30,,勝：ザガースキー 敗：山　口
,中日 1 - 3 ヤクルト,ナゴヤドーム 15:00,,勝：ルーキ 敗：祖父江
,広島 7 - 0 阪神,マツダスタジアム 18:00,,勝：黒　田 敗：岩　崎
,日本ハム 6 - 3 オリックス,札幌ドーム 14:00,,勝：鍵　谷 敗：ディクソン
,楽天 6 - 5 ロッテ,Koboスタ宮城 18:00,,勝：金　刃 敗：大嶺祐
,ソフトバンク 1 - 3 西武,ヤフオクドーム 18:00,,勝：牧　田 敗：　森
7/24（日）,DeNA 1 - 9 巨人,横　浜 17:30,,勝：マイコラス 敗：今　永
,中日 2 - 5 ヤクルト,ナゴヤドーム 14:00,,勝：由　規 敗：小笠原
,広島 5 - 8 阪神,マツダスタジアム 18:00,,勝：島　本 敗：一　岡
,日本ハム 2 - 3 オリックス,札幌ドーム 14:00,,勝：塚　原 敗：バース
,楽天 2 - 3 ロッテ,Koboスタ宮城 17:00,,勝：涌　井 敗：則　本
,ソフトバンク 4 - 3 西武,ヤフオクドーム 14:00,,勝：岩　嵜 敗：野　上
7/25（月）,,,,
7/26（火）,巨人 中止 広島,岐　阜 18:00,,
,中日 3 - 7 DeNA,ナゴヤドーム 18:00,,勝：久保康 敗：若　松
,阪神 5 - 3 ヤクルト,甲子園 18:00,,勝：藤　川 敗：ルーキ
,楽天 0 - 6 ソフトバンク,Koboスタ宮城 18:00,,勝：武　田 敗：塩　見
,西武 1 - 4 日本ハム,西武プリンス 18:00,,勝：メンドーサ 敗：　岸
,オリックス 3 - 6 ロッテ,京セラD大阪 18:00,,勝：　南 敗：　西
7/27（水）,巨人 7 - 2 広島,京セラD大阪 18:00,,勝：田　口 敗：ジョンソン
,中日 0 - 2 DeNA,ナゴヤドーム 18:00,,勝：ペトリック 敗：大　野
,阪神 9 - 0 ヤクルト,甲子園 18:00,,勝：能　見 敗：杉　浦
,楽天 6 - 2 ソフトバンク,Koboスタ宮城 18:00,,勝：西　宮 敗：東　浜
,西武 4 - 8 日本ハム,西武プリンス 18:00,,勝：吉　川 敗：ポーリーノ
,オリックス 3 - 1 ロッテ,ほっと神戸 18:00,,勝：山　田 敗：二　木
7/28（木）,巨人 0 - 4 広島,京セラD大阪 18:00,,勝：福　井 敗：菅　野
,中日 15 - 2 DeNA,ナゴヤドーム 18:00,,勝：バルデス 敗：熊　原
,阪神 10 - 5 ヤクルト,甲子園 18:00,,勝：青　柳 敗：小　川
,西武 6 - 2 日本ハム,西武プリンス 18:00,,勝：多和田 敗：斎藤佑樹
,オリックス 2 - 1 ロッテ,ほっと神戸 18:00,,勝：平　野 敗：西　野
7/29（金）,巨人 3 - 1 ヤクルト,東京ドーム 18:00,,勝：内　海 敗：デイビーズ
,阪神 1 - 3 中日,甲子園 18:00,,勝：伊　藤 敗：藤　浪
,広島 3 - 19 DeNA,マツダスタジアム 18:00,,勝：石　田 敗：野　村
,日本ハム 4 - 6 ソフトバンク,札幌ドーム 18:00,,勝：和　田 敗：有　原
,ロッテ 0 - 9 楽天,QVCマリン 18:30,,勝：美　馬 敗：益　田
,オリックス 7 - 1 西武,京セラD大阪 18:00,,勝：松　葉 敗：髙橋光
7/30（土）,巨人 9 - 0 ヤクルト,東京ドーム 14:00,,勝：大竹寛 敗：山　中
,阪神 8 - 2 中日,甲子園 18:00,,勝：メッセンジャー 敗：吉　見
,広島 5 - 7 DeNA,マツダスタジアム 18:00,,勝：井　納 敗：黒　田
,日本ハム 3 - 2 ソフトバンク,札幌ドーム 18:00,,勝：マーティン 敗：五十嵐
,ロッテ 4 - 5 楽天,QVCマリン 17:00,,勝：松井裕 敗：大　谷
,オリックス 2 - 3 西武,京セラD大阪 14:00,,勝：十　亀 敗：吉田一
7/31（日）,巨人 10 - 1 ヤクルト,東京ドーム 14:00,,勝：マイコラス 敗：館　山
,阪神 6 - 1 中日,甲子園 18:00,,勝：岩　崎 敗：ジョーダン
,広島 6 - 4 DeNA,マツダスタジアム 18:00,,勝：ヘーゲンズ 敗：三　上
,日本ハム 6 - 3 ソフトバンク,札幌ドーム 15:00,,勝：鍵　谷 敗：岩　嵜
,ロッテ 2 - 0 楽天,QVCマリン 17:00,,勝：涌　井 敗：辛　島
,オリックス 5 - 4 西武,京セラD大阪 13:00,,勝：平　野 敗：増　田
