月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
4/1（日）,巨人 3 - 2 阪神,東京ドーム 14:00,,勝：野上 敗：秋山
,DeNA 3 - 1 ヤクルト,横　浜 13:00,,勝：京山 敗：由規
,広島 8 - 3 中日,マツダスタジアム 13:30,,勝：大瀬良 敗：笠原
,日本ハム 1 - 4 西武,札幌ドーム 14:00,,勝：ウルフ 敗：加藤
,ロッテ 5 - 4 楽天,ZOZOマリン 14:00,,勝：酒居 敗：池田
,ソフトバンク 12 - 3 オリックス,ヤフオクドーム 13:00,,勝：石川 敗：山岡
4/2（月）,,,,
4/3（火）,ヤクルト 3 - 6 広島,神　宮 18:00,,勝：薮田 敗：原
,中日 3 - 10 巨人,ナゴヤドーム 18:15,,勝：山口俊 敗：柳
,楽天 0 - 2 日本ハム,楽天生命パーク 16:00,,勝：宮西 敗：松井
,西武 7 - 4 ソフトバンク,メットライフ 18:00,,勝：十亀 敗：東浜
,オリックス 1 - 4 ロッテ,京セラD大阪 18:00,,勝：石川 敗：金子千尋
4/4（水）,ヤクルト 8 - 5 広島,神　宮 18:00,,勝：秋吉 敗：九里
,DeNA 1 - 2 阪神,横　浜 18:00,,勝：小野 敗：飯塚
,中日 4 - 1 巨人,ナゴヤドーム 18:00,,勝：ガルシア 敗：吉川光
,楽天 2 - 5 日本ハム,楽天生命パーク 13:00,,勝：トンキン 敗：高梨
,西武 2 - 1 ソフトバンク,メットライフ 14:00,,勝：カスティーヨ 敗：バンデンハーク
,オリックス 7 - 1 ロッテ,京セラD大阪 18:00,,勝：アルバース 敗：二木
4/5（木）,ヤクルト 4 - 5 広島,神　宮 18:00,,勝：岡田 敗：館山
,DeNA 0 - 2 阪神,横　浜 18:00,,勝：メッセンジャー 敗：東
,中日 2 - 3 巨人,ナゴヤドーム 18:00,,勝：大竹 敗：松坂
,楽天 1 - 3 日本ハム,楽天生命パーク 13:00,,勝：村田 敗：藤平
,オリックス 5 - 9 ロッテ,京セラD大阪 18:00,,勝：涌井 敗：ディクソン
4/6（金）,ヤクルト 6 - 0 巨人,神　宮 18:00,,勝：ブキャナン 敗：菅野
,阪神 2 - 3 中日,京セラD大阪 18:00,,勝：小笠原 敗：岩崎
,広島 7 - 3 DeNA,マツダスタジアム 18:00,,勝：野村 敗：石田
,日本ハム 3 - 2 ロッテ,東京ドーム 18:00,,勝：マルティネス 敗：ボルシンガー
,楽天 7 - 2 ソフトバンク,楽天生命パーク 18:00,,勝：則本 敗：千賀
,西武 5 - 1 オリックス,メットライフ 18:00,,勝：菊池 敗：西
4/7（土）,ヤクルト 15 - 8 巨人,神　宮 14:00,,勝：風張 敗：谷岡
,阪神 3 - 1 中日,京セラD大阪 14:00,,勝：秋山 敗：ジー
,広島 2 - 4 DeNA,マツダスタジアム 14:00,,勝：バリオス 敗：ジョンソン
,日本ハム 9 - 6 ロッテ,東京ドーム 14:00,,勝：西村 敗：チェン・グァンユウ
