月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
10/1（日）,巨人 4 - 5 阪神,東京ドーム 14:00,,勝：岩田 敗：田口
,ヤクルト 4 - 6 中日,神　宮 18:00,,勝：又吉 敗：ルーキ
,DeNA 13 - 7 広島,横　浜 14:00,,勝：ウィーランド 敗：中村祐
,日本ハム 0 - 5 西武,札幌ドーム 14:00,,勝：野上 敗：上沢
,楽天 2 - 5 ロッテ,Koboパーク宮城 14:00,,勝：チェン・グァンユウ 敗：松井裕
,オリックス 0 - 2 ソフトバンク,京セラD大阪 14:00,,勝：中田 敗：平野
10/2（月）,西武 1 - 2 楽天,メットライフ 18:00,,勝：則本 敗：十亀
10/3（火）,ヤクルト 6 - 10 巨人,神　宮 18:00,,勝：戸根 敗：秋吉
,DeNA 3 - 1 中日,横　浜 18:00,,勝：綾部 敗：笠原
,日本ハム 10 - 5 オリックス,札幌ドーム 18:00,,勝：高梨 敗：吉田凌
,西武 10 - 3 楽天,メットライフ 18:00,,勝：菊池 敗：美馬
10/4（水）,DeNA 2 - 1 中日,横　浜 18:00,,勝：濵口 敗：阿知羅
,日本ハム 3 - 0 オリックス,札幌ドーム 18:00,,勝：大谷 敗：金子千尋
,ロッテ 1 - 1 楽天,ZOZOマリン 18:15,,分：有吉 分：西宮
10/5（木）,阪神 2 - 1 中日,甲子園 18:00,,勝：竹安 敗：小笠原
,西武 6 - 8 日本ハム,メットライフ 18:00,,勝：吉田 敗：髙橋朋
,ロッテ 3 - 2 楽天,ZOZOマリン 18:15,,勝：関谷 敗：古川
10/6（金）,阪神 中止 中日,甲子園 18:00,,
,ソフトバンク 4 - 3 オリックス,ヤフオクドーム 18:00,,勝：嘉弥真 敗：澤田
10/7（土）,オリックス 0 - 7 楽天,京セラD大阪 18:00,,勝：藤平 敗：山岡
10/8（日）,楽天 2 - 0 ソフトバンク,Koboパーク宮城 18:00,,勝：則本 敗：武田
10/9（月）,楽天 1 - 3 日本ハム,Koboパーク宮城 14:00,,勝：有原 敗：美馬
,ロッテ 6 - 1 オリックス,ZOZOマリン 13:00,,勝：酒居 敗：山本
10/10（火）,阪神 6 - 1 中日,甲子園 18:00,,勝：石崎 敗：ジョーダン
,楽天 5 - 0 ロッテ,Koboパーク宮城 13:00,,勝：森 敗：成田
10/11（水）,,,,
10/12（木）,,,,
10/13（金）,,,,
10/14（土）,阪神 2 - 0 DeNA,甲子園 14:00,,勝：メッセンジャー 敗：井納
,西武 10 - 0 楽天,メットライフ 13:00,,勝：菊池 敗：則本
10/15（日）,阪神 6 - 13 DeNA,甲子園 14:00,,勝：三上 敗：桑原
,西武 1 - 4 楽天,メットライフ 13:00,,勝：岸 敗：十亀
10/16（月）,阪神 中止 DeNA,甲子園 18:00,,
,西武 2 - 5 楽天,メットライフ 18:00,,勝：宋家豪 敗：野上
10/17（火）,阪神 1 - 6 DeNA,甲子園 18:00,,勝：ウィーランド 敗：能見
10/18（水）,広島 3 - 0 DeNA,マツダスタジアム 18:00,,勝：薮田 敗：石田
,ソフトバンク 2 - 3 楽天,ヤフオクドーム 18:00,,勝：塩見 敗：東浜
10/19（木）,広島 2 - 6 DeNA,マツダスタジアム 18:00,,勝：濵口 敗：野村
,ソフトバンク 1 - 2 楽天,ヤフオクドーム 18:00,,勝：宋家豪 敗：千賀
10/20（金）,広島 0 - 1 DeNA,マツダスタジアム 18:00,,勝：井納 敗：ジョンソン
,ソフトバンク 7 - 5 楽天,ヤフオクドーム 18:00,,勝：岩嵜 敗：福山
10/21（土）,広島 中止 DeNA,マツダスタジアム 13:30,,
,ソフトバンク 4 - 3 楽天,ヤフオクドーム 13:00,,勝：石川 敗：宋家豪
10/22（日）,広島 中止 DeNA,マツダスタジアム 13:30,,
,ソフトバンク 7 - 0 楽天,ヤフオクドーム 13:00,,勝：武田 敗：美馬
10/23（月）,広島 3 - 4 DeNA,マツダスタジアム 18:00,,勝：ウィーランド 敗：薮田
10/24（火）,広島 3 - 9 DeNA,マツダスタジアム 18:00,,勝：三嶋 敗：野村
10/25（水）,,,,
10/26（木）,,,,
10/27（金）,,,,
10/28（土）,ソフトバンク 10 - 1 DeNA,ヤフオクドーム 18:30,,勝：千賀 敗：井納
10/29（日）,ソフトバンク 4 - 3 DeNA,ヤフオクドーム 18:30,,勝：石川 敗：パットン
10/30（月）,,,,
10/31（火）,DeNA 2 - 3 ソフトバンク,横　浜 18:30,,勝：石川 敗：ウィーランド
