月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
4/1（月）,,,,
4/2（火）,巨人 9 - 3 阪神,東京ドーム 18:00,,勝：山口 敗：ガルシア
,ヤクルト 5 - 2 DeNA,神　宮 18:00,,勝：近藤 敗：パットン
,中日 7 - 4 広島,ナゴヤドーム 18:15,,勝：祖父江 敗：フランスア
,楽天 3 - 1 日本ハム,楽天生命パーク 16:00,,勝：辛島 敗：バーベイト
,西武 7 - 4 ロッテ,メットライフ 18:00,,勝：ニール 敗：涌井
,オリックス 4 - 11 ソフトバンク,京セラD大阪 18:00,,勝：東浜 敗：アルバース
4/3（水）,巨人 6 - 3 阪神,東京ドーム 18:00,,勝：メルセデス 敗：青柳
,ヤクルト 5 - 4 DeNA,神　宮 18:00,,勝：石山 敗：三上
,中日 2 - 3 広島,ナゴヤドーム 18:00,,勝：野村 敗：祖父江
,楽天 3 - 2 日本ハム,楽天生命パーク 13:00,,勝：ハーマン 敗：浦野
,西武 9 - 3 ロッテ,メットライフ 18:00,,勝：武隈 敗：ブランドン
,オリックス 0 - 0 ソフトバンク,京セラD大阪 18:00,,分：吉田一 分：森
4/4（木）,巨人 10 - 1 阪神,東京ドーム 18:00,,勝：髙橋 敗：浜地
,ヤクルト 5 - 10 DeNA,神　宮 18:00,,勝：砂田 敗：梅野
,中日 3 - 2 広島,ナゴヤドーム 18:00,,勝：ロメロ 敗：岡田
,楽天 11 - 2 日本ハム,楽天生命パーク 13:00,,勝：石橋 敗：斎藤佑樹
,西武 8 - 6 ロッテ,メットライフ 18:00,,勝：本田 敗：小島
,オリックス 0 - 3 ソフトバンク,京セラD大阪 18:00,,勝：武田 敗：松葉
4/5（金）,ヤクルト 8 - 7 中日,神　宮 18:00,,勝：五十嵐 敗：祖父江
,DeNA 2 - 3 巨人,横　浜 18:00,,勝：菅野 敗：今永
,広島 2 - 3 阪神,マツダスタジアム 18:00,,勝：メッセンジャー 敗：大瀬良
,日本ハム 5 - 2 西武,東京ドーム 18:00,,勝：上沢 敗：多和田
,オリックス 2 - 0 楽天,京セラD大阪 18:00,,勝：山岡 敗：安樂
,ソフトバンク 3 - 7 ロッテ,ヤフオクドーム 18:00,,勝：益田 敗：奥村
4/6（土）,ヤクルト 4 - 3 中日,神　宮 14:00,,勝：ハフ 敗：小熊
