月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
8/1（月）,,,,
8/2（火）,ヤクルト 4 - 16 広島,神　宮 18:00,,勝：ジョンソン 敗：石　川
,DeNA 2 - 6 阪神,横　浜 18:00,,勝：岩　貞 敗：山﨑康
,中日 2 - 7 巨人,ナゴヤドーム 18:00,,勝：今　村 敗：若　松
,楽天 2 - 1 オリックス,Koboスタ宮城 18:00,,勝：ミコライオ 敗：　西
,西武 2 - 6 ソフトバンク,西武プリンス 18:00,,勝：武　田 敗：　岸
,ロッテ 4 - 3 日本ハム,QVCマリン 18:15,,勝：スタンリッジ 敗：メンドーサ
8/3（水）,ヤクルト 6 - 4 広島,神　宮 18:00,,勝：松　岡 敗：ヘーゲンズ
,DeNA 4 - 3 阪神,横　浜 18:00,,勝：山　口 敗：能　見
,中日 0 - 5 巨人,ナゴヤドーム 18:00,,勝：田　口 敗：大　野
,楽天 6 - 1 オリックス,Koboスタ宮城 18:00,,勝：釜　田 敗：山　田
,西武 3 - 7 ソフトバンク,西武プリンス 18:00,,勝：攝　津 敗：ポーリーノ
,ロッテ 2 - 10 日本ハム,QVCマリン 18:15,,勝：榎　下 敗：古　谷
8/4（木）,ヤクルト 5 - 2 広島,神　宮 18:00,,勝：由　規 敗：福　井
,DeNA 5 - 7 阪神,横　浜 18:00,,勝：藤　川 敗：ザガースキー
,楽天 0 - 2 オリックス,Koboスタ宮城 18:00,,勝：金子千尋 敗：安　樂
,西武 4 - 7 ソフトバンク,西武プリンス 18:00,,勝：東　浜 敗：多和田
,ロッテ 3 - 0 日本ハム,QVCマリン 18:15,,勝：唐　川 敗：鍵　谷
8/5（金）,ヤクルト 0 - 8 阪神,神　宮 18:00,,勝：藤　浪 敗：デイビーズ
,DeNA 3 - 4 中日,横　浜 18:00,,勝：小　川 敗：山﨑康
,広島 4 - 5 巨人,マツダスタジアム 18:00,,勝：マシソン 敗：中　﨑
,楽天 4 - 10 西武,Koboスタ宮城 18:00,,勝：菊　池 敗：美　馬
,オリックス 2 - 3 ロッテ,京セラD大阪 18:00,,勝：石　川 敗：松　葉
,ソフトバンク 3 - 2 日本ハム,ヤフオクドーム 18:00,,勝：和　田 敗：有　原
8/6（土）,ヤクルト 6 - 1 阪神,神　宮 18:00,,勝：山　中 敗：メッセンジャー
,DeNA 6 - 4 中日,横　浜 17:30,,勝：須　田 敗：岩　瀬
,広島 2 - 3 巨人,マツダスタジアム 18:00,,勝：大竹寛 敗：黒　田
,楽天 7 - 5 西武,Koboスタ宮城 18:00,,勝：則　本 敗：十　亀
,オリックス 0 - 2 ロッテ,京セラD大阪 14:00,,勝：関　谷 敗：ディクソン
,ソフトバンク 1 - 8 日本ハム,ヤフオクドーム 14:00,,勝：高　梨 敗：千　賀
8/7（日）,ヤクルト 7 - 6 阪神,神　宮 18:00,,勝：中　澤 敗：マテオ
,DeNA 4 - 1 中日,横　浜 17:30,,勝：今　永 敗：小笠原
,広島 8 - 7 巨人,マツダスタジアム 18:00,,勝：今　村 敗：澤　村
,楽天 6 - 4 西武,Koboスタ宮城 17:00,,勝：西　宮 敗：髙橋光
,オリックス 5 - 3 ロッテ,京セラD大阪 13:00,,勝：山﨑福 敗：涌　井
,ソフトバンク 3 - 8 日本ハム,ヤフオクドーム 13:00,,勝：加　藤 敗：中　田
8/8（月）,,,,
8/9（火）,巨人 5 - 2 DeNA,東京ドーム 18:00,,勝：内　海 敗：久保康
,中日 2 - 1 ヤクルト,ナゴヤドーム 18:00,,勝：山　井 敗：岩　橋
,広島 10 - 3 阪神,マツダスタジアム 18:00,,勝：ジョンソン 敗：岩　貞
,日本ハム 1 - 3 西武,札幌ドーム 18:00,,勝：　岸 敗：バース
,ロッテ 2 - 4 楽天,QVCマリン 18:15,,勝：西　宮 敗：　南
,オリックス 4 - 0 ソフトバンク,京セラD大阪 18:00,,勝：　西 敗：武　田
8/10（水）,巨人 5 - 2 DeNA,東京ドーム 18:00,,勝：田　口 敗：山　口
,中日 2 - 3 ヤクルト,ナゴヤドーム 18:00,,勝：小　川 敗：大　野
,広島 1 - 2 阪神,マツダスタジアム 18:00,,勝：能　見 敗：福　井
,日本ハム 4 - 3 西武,札幌ドーム 18:00,,勝：鍵　谷 敗：小　石
