月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
6/1（水）,日本ハム 5 - 2 ヤクルト,札幌ドーム 18:00,,勝：バース 敗：石　川
,楽天 3 - 5 阪神,Koboスタ宮城 18:00,,勝：青　柳 敗：リ　ズ
,西武 7 - 0 DeNA,西武プリンス 18:00,,勝：菊　池 敗：石　田
,ロッテ 2 - 4 広島,QVCマリン 18:15,,勝：野　村 敗：大　谷
,オリックス 0 - 1 巨人,京セラD大阪 18:00,,勝：内　海 敗：松　葉
,ソフトバンク 0 - 5 中日,ヤフオクドーム 18:00,,勝：若　松 敗：和　田
6/2（木）,日本ハム 8 - 6 ヤクルト,札幌ドーム 18:00,,勝：高　梨 敗：秋　吉
,楽天 0 - 3 阪神,Koboスタ宮城 18:00,,勝：藤　浪 敗：美　馬
,西武 4 - 1 DeNA,西武プリンス 18:00,,勝：髙橋光 敗：井　納
,ロッテ 13 - 4 広島,QVCマリン 18:15,,勝：二　木 敗：九　里
,オリックス 2 - 4 巨人,京セラD大阪 18:00,,勝：大竹寛 敗：金子千尋
,ソフトバンク 6 - 2 中日,ヤフオクドーム 18:00,,勝：中　田 敗：バルデス
6/3（金）,巨人 5 - 4 日本ハム,東京ドーム 18:00,,勝：菅　野 敗：吉　川
,ヤクルト 4 - 5 オリックス,神　宮 18:00,,勝：吉田一 敗：ルーキ
,DeNA 2 - 1 ロッテ,横　浜 18:00,,勝：久保康 敗：涌　井
,中日 1 - 3 楽天,ナゴヤドーム 18:00,,勝：塩　見 敗：ジョーダン
,阪神 3 - 12 西武,甲子園 18:00,,勝：佐　野 敗：岩　貞
,広島 1 - 6 ソフトバンク,マツダスタジアム 18:00,,勝：東　浜 敗：黒　田
6/4（土）,巨人 5 - 4 日本ハム,東京ドーム 14:00,,勝：宮　國 敗：谷　元
,ヤクルト 4 - 6 オリックス,神　宮 14:00,,勝：吉田一 敗：山　中
,DeNA 6 - 5 ロッテ,横　浜 14:00,,勝：三　上 敗：西　野
,中日 0 - 3 楽天,ナゴヤドーム 15:00,,勝：釜　田 敗：大　野
,阪神 5 - 1 西武,甲子園 14:00,,勝：メッセンジャー 敗：多和田
,広島 1 - 1 ソフトバンク,マツダスタジアム 14:00,,分：岡　田 分：千　賀
6/5（日）,巨人 2 - 6 日本ハム,東京ドーム 14:00,,勝：大　谷 敗：高　木
,ヤクルト 9 - 14 オリックス,神　宮 13:00,,勝：ディクソン 敗：　原樹
,DeNA 11 - 0 ロッテ,横　浜 13:00,,勝：山　口 敗：唐　川
,中日 2 - 0 楽天,ナゴヤドーム 14:00,,勝：吉　見 敗：戸　村
,阪神 2 - 3 西武,甲子園 14:00,,勝：増　田 敗：安　藤
,広島 2 - 1 ソフトバンク,マツダスタジアム 13:30,,勝：ジャクソン 敗：サファテ
6/6（月）,,,,
6/7（火）,日本ハム 2 - 3 広島,旭　川 18:00,,勝：戸　田 敗：有　原
,楽天 5 - 1 ヤクルト,郡　山 18:00,,勝：則　本 敗：デイビーズ
,西武 6 - 2 巨人,西武プリンス 18:00,,勝：菊　池 敗：田　口
,ロッテ 2 - 1 阪神,QVCマリン 18:15,,勝：石　川 敗：能　見
,オリックス 3 - 8 中日,京セラD大阪 18:00,,勝：岡　田 敗：コーディエ
,ソフトバンク 6 - 3 DeNA,ヤフオクドーム 18:00,,勝：山　田 敗：モスコーソ
6/8（水）,日本ハム 4 - 2 広島,札幌ドーム 18:00,,勝：高　梨 敗：ジョンソン
,楽天 3 - 10 ヤクルト,Koboスタ宮城 18:00,,勝：村　中 敗：リ　ズ
,西武 5 - 7 巨人,西武プリンス 18:00,,勝：内　海 敗：髙橋光
,ロッテ 8 - 3 阪神,QVCマリン 18:15,,勝：関　谷 敗：青　柳
,オリックス 2 - 1 中日,京セラD大阪 18:00,,勝：松　葉 敗：若　松
,ソフトバンク 4 - 1 DeNA,ヤフオクドーム 18:00,,勝：和　田 敗：石　田
6/9（木）,日本ハム 2 - 4 広島,札幌ドーム 18:00,,勝：野　村 敗：バース
,楽天 3 - 2 ヤクルト,Koboスタ宮城 18:00,,勝：美　馬 敗：古　野
,西武 7 - 4 巨人,西武プリンス 18:00,,勝：牧　田 敗：山　口
,ロッテ 7 - 2 阪神,QVCマリン 18:15,,勝：二　木 敗：藤　浪
,オリックス 3 - 8 中日,京セラD大阪 18:00,,勝：バルデス 敗：金子千尋
,ソフトバンク 4 - 2 DeNA,ヤフオクドーム 18:00,,勝：中　田 敗：井　納
6/10（金）,日本ハム 5 - 4 阪神,札幌ドーム 18:00,,勝：宮　西 敗：藤　川
,楽天 0 - 6 広島,Koboスタ宮城 18:00,,勝：黒　田 敗：塩　見
,西武 1 - 0 中日,西武プリンス 18:00,,勝：武　隈 敗：田　島
,ロッテ 6 - 7 ヤクルト,QVCマリン 18:30,,勝：オンドルセク 敗：西　野
,オリックス 1 - 3 DeNA,京セラD大阪 18:00,,勝：久保康 敗：東　明
