月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
10/1（月）,ヤクルト 8 - 5 巨人,神　宮 18:00,,勝：小川 敗：吉川光
,阪神 0 - 10 DeNA,甲子園 18:00,,勝：濵口 敗：岩貞
,日本ハム 1 - 2 西武,札幌ドーム 18:00,,勝：多和田 敗：玉井
,楽天 2 - 5 オリックス,楽天生命パーク 18:00,,勝：西 敗：藤平
,ソフトバンク 1 - 6 ロッテ,ヤフオクドーム 18:00,,勝：涌井 敗：松本裕
10/2（火）,ヤクルト 3 - 2 DeNA,神　宮 18:00,,勝：高橋 敗：平良
,広島 1 - 0 阪神,マツダスタジアム 18:00,,勝：ジョンソン 敗：岩田
,日本ハム 2 - 3 西武,札幌ドーム 18:00,,勝：榎田 敗：マルティネス
,ソフトバンク 4 - 2 ロッテ,ヤフオクドーム 18:00,,勝：東浜 敗：種市
10/3（水）,ヤクルト 2 - 1 DeNA,神　宮 18:00,,勝：カラシティー 敗：京山
,広島 4 - 3 阪神,マツダスタジアム 18:00,,勝：アドゥワ 敗：岩崎
,日本ハム 3 - 7 西武,札幌ドーム 18:00,,勝：髙橋光 敗：加藤
,ソフトバンク 10 - 2 ロッテ,ヤフオクドーム 18:00,,勝：二保 敗：大隣
10/4（木）,阪神 1 - 2 ヤクルト,甲子園 18:00,,勝：梅野 敗：ドリス
,広島 0 - 4 巨人,マツダスタジアム 18:00,,勝：菅野 敗：野村
,楽天 3 - 4 日本ハム,楽天生命パーク 18:00,,勝：上原 敗：松井
,ロッテ 3 - 6 西武,ZOZOマリン 18:15,,勝：伊藤 敗：有吉
,オリックス 2 - 1 ソフトバンク,京セラD大阪 18:00,,勝：増井 敗：加治屋
10/5（金）,阪神 1 - 6 中日,甲子園 18:00,,勝：笠原 敗：小野
,楽天 1 - 2 ロッテ,楽天生命パーク 18:00,,勝：岩下 敗：古川
,オリックス 4 - 6 ソフトバンク,京セラD大阪 18:00,,勝：千賀 敗：東明
10/6（土）,阪神 4 - 3 DeNA,甲子園 14:00,,勝：桑原 敗：バリオス
,楽天 8 - 1 ロッテ,楽天生命パーク 14:00,,勝：則本 敗：石川
,ソフトバンク 8 - 3 西武,ヤフオクドーム 18:00,,勝：武田 敗：齊藤大
10/7（日）,ヤクルト 6 - 0 阪神,神　宮 18:00,,勝：石川 敗：岩貞
,広島 3 - 4 DeNA,マツダスタジアム 14:00,,勝：パットン 敗：中﨑
,ロッテ 3 - 8 ソフトバンク,ZOZOマリン 18:00,,勝：ミランダ 敗：二木
10/8（月）,ヤクルト 6 - 5 阪神,神　宮 18:00,,勝：ブキャナン 敗：才木
,ロッテ 1 - 6 ソフトバンク,ZOZOマリン 14:00,,勝：東浜 敗：土肥
10/9（火）,ヤクルト 1 - 4 DeNA,神　宮 18:00,,勝：三嶋 敗：館山
,阪神 4 - 9 巨人,甲子園 18:00,,勝：畠 敗：桑原
10/10（水）,阪神 2 - 1 DeNA,甲子園 18:00,,勝：能見 敗：今永
,日本ハム 5 - 4 ロッテ,札幌ドーム 18:00,,勝：ロドリゲス 敗：山本
10/11（木）,日本ハム 5 - 4 ロッテ,札幌ドーム 18:00,,勝：上原 敗：有吉
10/12（金）,,,,
10/13（土）,中日 2 - 3 阪神,ナゴヤドーム 14:00,,勝：藤川 敗：祖父江
,ロッテ 1 - 4 楽天,ZOZOマリン 14:00,,勝：則本 敗：岩下
,ヤクルト 1 - 4 巨人,神　宮 18:00,,勝：上原 敗：小川
,ソフトバンク 8 - 3 日本ハム,ヤフオクドーム 13:00,,勝：武田 敗：上沢
10/14（日）,ヤクルト 0 - 4 巨人,神　宮 18:00,,勝：菅野 敗：原
,ソフトバンク 2 - 4 日本ハム,ヤフオクドーム 13:00,,勝：マルティネス 敗：加治屋
10/15（月）,ソフトバンク 5 - 2 日本ハム,ヤフオクドーム 18:00,,勝：石川 敗：杉浦
10/16（火）,,,,
10/17（水）,広島 6 - 1 巨人,マツダスタジアム 18:00,,勝：大瀬良 敗：メルセデス
,西武 4 - 10 ソフトバンク,メットライフ 18:00,,勝：バンデンハーク 敗：菊池
10/18（木）,広島 4 - 1 巨人,マツダスタジアム 18:00,,勝：ジョンソン 敗：畠
,西武 13 - 5 ソフトバンク,メットライフ 18:00,,勝：多和田 敗：ミランダ
10/19（金）,広島 5 - 1 巨人,マツダスタジアム 18:00,,勝：九里 敗：今村
,西武 4 - 15 ソフトバンク,メットライフ 18:00,,勝：千賀 敗：榎田
10/20（土）,西武 2 - 8 ソフトバンク,メットライフ 14:00,,勝：武田 敗：今井
10/21（日）,西武 5 - 6 ソフトバンク,メットライフ 13:00,,勝：石川 敗：ウルフ
10/22（月）,,,,
10/23（火）,,,,
10/24（水）,,,,
10/25（木）,,,,
10/26（金）,,,,
10/27（土）,広島 2 - 2 ソフトバンク,マツダスタジアム 18:30,,分：中田 分：モイネロ
10/28（日）,広島 5 - 1 ソフトバンク,マツダスタジアム 18:30,,勝：ジョンソン 敗：バンデンハーク
10/29（月）,,,,
10/30（火）,ソフトバンク 9 - 8 広島,ヤフオクドーム 18:30,,勝：ミランダ 敗：九里
10/31（水）,ソフトバンク 4 - 1 広島,ヤフオクドーム 18:30,,勝：東浜 敗：野村
