月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
8/1（火）,ヤクルト 3 - 10 巨人,静　岡 18:00,,勝：マイコラス 敗：原樹
,DeNA 中止 中日,横　浜 18:00,,
,広島 4 - 3 阪神,マツダスタジアム 18:00,,勝：野村 敗：岩貞
,西武 8 - 0 楽天,メットライフ 18:00,,勝：十亀 敗：辛島
,ロッテ 中止 日本ハム,ZOZOマリン 18:15,,
,オリックス 5 - 4 ソフトバンク,京セラD大阪 18:00,,勝：小林 敗：サファテ
8/2（水）,ヤクルト 4 - 10 巨人,神　宮 18:00,,勝：畠 敗：由規
,DeNA 4 - 4 中日,横　浜 18:00,,分：加賀 分：田島
,広島 3 - 4 阪神,マツダスタジアム 18:00,,勝：髙橋 敗：今村
,西武 7 - 4 楽天,メットライフ 18:00,,勝：岡本 敗：則本
,ロッテ 4 - 2 日本ハム,ZOZOマリン 18:15,,勝：スタンリッジ 敗：有原
,オリックス 1 - 5 ソフトバンク,京セラD大阪 18:00,,勝：バンデンハーク 敗：松葉
8/3（木）,ヤクルト 7 - 5 巨人,神　宮 18:00,,勝：石山 敗：西村
,DeNA 4 - 3 中日,横　浜 18:00,,勝：今永 敗：吉見
,広島 5 - 5 阪神,マツダスタジアム 18:00,,分：一岡 分：松田
,西武 8 - 1 楽天,メットライフ 18:00,,勝：菊池 敗：安樂
,ロッテ 2 - 3 日本ハム,ZOZOマリン 18:15,,勝：加藤 敗：唐川
,オリックス 3 - 5 ソフトバンク,京セラD大阪 18:00,,勝：東浜 敗：山﨑福
8/4（金）,巨人 5 - 6 中日,東京ドーム 18:00,,勝：岩瀬 敗：カミネロ
,DeNA 13 - 3 広島,横　浜 18:00,,勝：石田 敗：高橋樹
,阪神 3 - 0 ヤクルト,京セラD大阪 18:00,,勝：メッセンジャー 敗：ブキャナン
,楽天 3 - 2 ロッテ,Koboパーク宮城 18:00,,勝：ハーマン 敗：内
,西武 8 - 4 ソフトバンク,メットライフ 18:00,,勝：野上 敗：モイネロ
8/5（土）,巨人 8 - 2 中日,東京ドーム 14:00,,勝：菅野 敗：小笠原
,DeNA 4 - 7 広島,横　浜 18:00,,勝：薮田 敗：井納
,阪神 4 - 0 ヤクルト,京セラD大阪 14:00,,勝：松田 敗：小川
,日本ハム 4 - 6 オリックス,札幌ドーム 14:00,,勝：大山 敗：宮西
,楽天 8 - 5 ロッテ,Koboパーク宮城 18:00,,勝：美馬 敗：涌井
,西武 7 - 8 ソフトバンク,メットライフ 18:00,,勝：サファテ 敗：増田
8/6（日）,巨人 4 - 5 中日,東京ドーム 14:00,,勝：又吉 敗：マシソン
,DeNA 4 - 9 広島,横　浜 18:00,,勝：岡田 敗：エスコバー
,阪神 6 - 5 ヤクルト,京セラD大阪 14:00,,勝：岩崎 敗：石山
,日本ハム 2 - 5 オリックス,札幌ドーム 15:00,,勝：西 敗：上原
,楽天 1 - 3 ロッテ,Koboパーク宮城 17:00,,勝：二木 敗：藤平
,西武 6 - 1 ソフトバンク,メットライフ 18:00,,勝：ウルフ 敗：武田
8/7（月）,,,,
8/8（火）,巨人 6 - 1 阪神,東京ドーム 18:00,,勝：マイコラス 敗：岩貞
,ヤクルト 8 - 5 DeNA,神　宮 18:00,,勝：山中 敗：久保
,中日 1 - 1 広島,ナゴヤドーム 18:00,,分：又吉 分：ジャクソン
,楽天 中止 日本ハム,Koboパーク宮城 18:00,,
,ロッテ 17 - 8 ソフトバンク,ZOZOマリン 18:15,,勝：石川 敗：石川
,オリックス 12 - 6 西武,京セラD大阪 18:00,,勝：金子千尋 敗：十亀
8/9（水）,巨人 4 - 5 阪神,東京ドーム 18:00,,勝：髙橋 敗：カミネロ
,ヤクルト 2 - 7 DeNA,神　宮 18:00,,勝：ウィーランド 敗：梅野
,中日 7 - 1 広島,ナゴヤドーム 18:00,,勝：大野 敗：大瀬良
,楽天 6 - 5 日本ハム,Koboパーク宮城 18:00,,勝：塩見 敗：有原
,ロッテ 2 - 3 ソフトバンク,ZOZOマリン 18:15,,勝：バンデンハーク 敗：スタンリッジ
,オリックス 4 - 8 西武,京セラD大阪 18:00,,勝：武隈 敗：山﨑福
8/10（木）,巨人 5 - 2 阪神,東京ドーム 18:00,,勝：マシソン 敗：マテオ
,ヤクルト 1 - 6 DeNA,神　宮 18:00,,勝：今永 敗：石山
,中日 6 - 5 広島,ナゴヤドーム 18:00,,勝：田島 敗：今村
,楽天 4 - 3 日本ハム,Koboパーク宮城 18:00,,勝：森原 敗：石川直
,ロッテ 5 - 6 ソフトバンク,ZOZOマリン 18:30,,勝：東浜 敗：唐川
,オリックス 4 - 2 西武,京セラD大阪 18:00,,勝：近藤 敗：菊池
8/11（金）,DeNA 1 - 8 阪神,横　浜 18:00,,勝：岩田 敗：石田
,中日 2 - 10 ヤクルト,ナゴヤドーム 18:00,,勝：ブキャナン 敗：バルデス
,広島 2 - 9 巨人,マツダスタジアム 18:00,,勝：田口 敗：福井
,ロッテ 5 - 3 西武,ZOZOマリン 18:00,,勝：有吉 敗：武隈
,オリックス 8 - 4 楽天,京セラD大阪 18:00,,勝：ディクソン 敗：岸
8/12（土）,DeNA 1 - 2 阪神,横　浜 18:00,,勝：マテオ 敗：砂田
,中日 3 - 0 ヤクルト,ナゴヤドーム 14:00,,勝：若松 敗：小川
,広島 1 - 0 巨人,マツダスタジアム 18:00,,勝：薮田 敗：菅野
,ロッテ 0 - 3 西武,ZOZOマリン 17:00,,勝：多和田 敗：涌井
,オリックス 0 - 7 楽天,京セラD大阪 14:00,,勝：則本 敗：山岡
,ソフトバンク 1 - 0 日本ハム,ヤフオクドーム 13:00,,勝：千賀 敗：上沢
8/13（日）,DeNA 8 - 2 阪神,横　浜 18:00,,勝：濵口 敗：松田
,中日 7 - 2 ヤクルト,ナゴヤドーム 14:00,,勝：吉見 敗：由規
,広島 4 - 1 巨人,マツダスタジアム 18:00,,勝：岡田 敗：今村
,ロッテ 3 - 6 西武,ZOZOマリン 17:00,,勝：シュリッター 敗：益田
,オリックス 2 - 4 楽天,京セラD大阪 13:00,,勝：辛島 敗：西
,ソフトバンク 3 - 2 日本ハム,ヤフオクドーム 13:00,,勝：武田 敗：上原
8/14（月）,ソフトバンク 1 - 7 日本ハム,京セラD大阪 18:00,,勝：白村 敗：松本裕
8/15（火）,ヤクルト 中止 巨人,神　宮 18:00,,
,DeNA 中止 中日,横　浜 18:00,,
,阪神 6 - 11 広島,京セラD大阪 18:00,,勝：野村 敗：小野
,西武 17 - 8 楽天,メットライフ 18:00,,勝：武隈 敗：森原
,ソフトバンク 5 - 3 オリックス,ヤフオクドーム 18:00,,勝：バンデンハーク 敗：金子千尋
8/16（水）,ヤクルト 2 - 8 巨人,神　宮 18:00,,勝：マイコラス 敗：原樹
,DeNA 3 - 2 中日,横　浜 18:00,,勝：山﨑康 敗：岩瀬
,阪神 3 - 5 広島,京セラD大阪 18:00,,勝：大瀬良 敗：藤浪
,日本ハム 4 - 2 ロッテ,札幌ドーム 18:00,,勝：有原 敗：スタンリッジ
,西武 5 - 0 楽天,メットライフ 18:00,,勝：岡本 敗：美馬
,ソフトバンク 2 - 1 オリックス,ヤフオクドーム 18:00,,勝：森 敗：松葉
8/17（木）,ヤクルト 4 - 3 巨人,神　宮 18:00,,勝：星 敗：内海
,DeNA 4 - 1 中日,横　浜 18:00,,勝：今永 敗：バルデス
,阪神 5 - 4 広島,京セラD大阪 18:00,,勝：ドリス 敗：中田
,日本ハム 8 - 7 ロッテ,札幌ドーム 18:00,,勝：宮西 敗：松永
,西武 3 - 0 楽天,メットライフ 18:00,,勝：菊池 敗：ハーマン
8/18（金）,巨人 9 - 7 DeNA,東京ドーム 18:00,,勝：カミネロ 敗：砂田
,中日 4 - 10 阪神,ナゴヤドーム 18:00,,勝：秋山 敗：鈴木
,広島 1 - 0 ヤクルト,マツダスタジアム 18:00,,勝：中村祐 敗：ブキャナン
,日本ハム 4 - 0 西武,札幌ドーム 18:00,,勝：メンドーサ 敗：野上
,楽天 1 - 4 ソフトバンク,Koboパーク宮城 18:00,,勝：東浜 敗：岸
,オリックス 2 - 5 ロッテ,京セラD大阪 18:00,,勝：酒居 敗：ディクソン
8/19（土）,巨人 6 - 1 DeNA,東京ドーム 14:00,,勝：菅野 敗：井納
,中日 1 - 8 阪神,ナゴヤドーム 14:00,,勝：青柳 敗：若松
,広島 0 - 5 ヤクルト,マツダスタジアム 18:00,,勝：小川 敗：薮田
,日本ハム 0 - 3 西武,札幌ドーム 14:00,,勝：多和田 敗：上沢
,楽天 0 - 2 ソフトバンク,Koboパーク宮城 18:00,,勝：千賀 敗：則本
,オリックス 7 - 3 ロッテ,京セラD大阪 14:00,,勝：山岡 敗：チェン・グァンユウ
8/20（日）,巨人 6 - 1 DeNA,東京ドーム 14:00,,勝：畠 敗：濵口
,中日 2 - 3 阪神,ナゴヤドーム 14:00,,勝：ドリス 敗：岩瀬
,広島 6 - 5 ヤクルト,マツダスタジアム 18:00,,勝：中﨑 敗：ルーキ
,日本ハム 9 - 3 西武,札幌ドーム 14:00,,勝：上原 敗：ファイフ
,楽天 1 - 4 ソフトバンク,Koboパーク宮城 17:00,,勝：モイネロ 敗：辛島
,オリックス 3 - 2 ロッテ,京セラD大阪 13:00,,勝：ヘルメン 敗：二木
8/21（月）,,,,
8/22（火）,ヤクルト 5 - 4 阪神,神　宮 18:00,,勝：ルーキ 敗：桑原
,DeNA 6 - 5 広島,横　浜 18:00,,勝：尾仲 敗：今村
,中日 2 - 9 巨人,ナゴヤドーム 18:00,,勝：マイコラス 敗：吉見
,ロッテ 2 - 6 楽天,ZOZOマリン 18:15,,勝：藤平 敗：石川
