月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
6/1（金）,日本ハム 13 - 2 中日,札幌ドーム 18:00,,勝：高梨 敗：柳
,楽天 2 - 5 ヤクルト,楽天生命パーク 18:00,,勝：ブキャナン 敗：辛島
,西武 2 - 0 阪神,メットライフ 18:00,,勝：菊池 敗：岩貞
,ロッテ 4 - 6 広島,ZOZOマリン 18:15,,勝：大瀬良 敗：大谷
,オリックス 1 - 3 巨人,京セラD大阪 18:00,,勝：菅野 敗：黒木
,ソフトバンク 6 - 2 DeNA,ヤフオクドーム 18:00,,勝：千賀 敗：今永
6/2（土）,日本ハム 9 - 3 中日,札幌ドーム 18:00,,勝：公文 敗：ガルシア
,楽天 2 - 3 ヤクルト,楽天生命パーク 14:00,,勝：カラシティー 敗：則本
,西武 5 - 10 阪神,メットライフ 14:00,,勝：谷川 敗：野田
,ロッテ 7 - 3 広島,ZOZOマリン 14:00,,勝：ボルシンガー 敗：高橋昂
,オリックス 3 - 2 巨人,京セラD大阪 18:00,,勝：近藤 敗：池田
,ソフトバンク 5 - 4 DeNA,ヤフオクドーム 14:00,,勝：バンデンハーク 敗：エスコバー
6/3（日）,日本ハム 2 - 5 中日,札幌ドーム 14:00,,勝：山井 敗：加藤
,楽天 2 - 3 ヤクルト,楽天生命パーク 13:00,,勝：中尾 敗：松井
,西武 10 - 5 阪神,メットライフ 13:00,,勝：榎田 敗：藤浪
,ロッテ 7 - 5 広島,ZOZOマリン 14:00,,勝：南 敗：九里
,オリックス 3 - 2 巨人,京セラD大阪 13:00,,勝：山本 敗：マシソン
,ソフトバンク 7 - 5 DeNA,ヤフオクドーム 13:00,,勝：岡本 敗：石田
6/4（月）,,,,
6/5（火）,巨人 1 - 4 楽天,東京ドーム 18:00,,勝：古川 敗：山口俊
,ヤクルト 12 - 6 ソフトバンク,神　宮 18:00,,勝：石川 敗：攝津
,DeNA 1 - 8 西武,横　浜 18:00,,勝：カスティーヨ 敗：ウィーランド
,中日 1 - 4 ロッテ,ナゴヤドーム 18:00,,勝：石川 敗：又吉
,阪神 2 - 3 オリックス,甲子園 18:00,,勝：アルバース 敗：メッセンジャー
,広島 中止 日本ハム,マツダスタジアム 18:00,,
6/6（水）,巨人 3 - 1 楽天,東京ドーム 18:00,,勝：今村 敗：近藤
,ヤクルト 中止 ソフトバンク,神　宮 18:00,,
,DeNA 中止 西武,横　浜 18:00,,
,中日 0 - 1 ロッテ,ナゴヤドーム 18:00,,勝：有吉 敗：小笠原
,阪神 中止 オリックス,甲子園 18:00,,
,広島 4 - 3 日本ハム,マツダスタジアム 18:00,,勝：藤井皓 敗：トンキン
6/7（木）,巨人 4 - 5 楽天,東京ドーム 18:00,,勝：岸 敗：上原
,ヤクルト 4 - 3 ソフトバンク,神　宮 18:00,,勝：石山 敗：モイネロ
,DeNA 7 - 9 西武,横　浜 18:00,,勝：十亀 敗：京山
,中日 9 - 8 ロッテ,ナゴヤドーム 18:00,,勝：祖父江 敗：阿部
,阪神 2 - 1 オリックス,甲子園 18:00,,勝：秋山 敗：金子千尋
,広島 4 - 8 日本ハム,マツダスタジアム 18:00,,勝：マルティネス 敗：中村祐
6/8（金）,巨人 4 - 5 西武,東京ドーム 18:00,,勝：菊池 敗：菅野
,ヤクルト 0 - 3 オリックス,神　宮 18:00,,勝：西 敗：ハフ
,DeNA 5 - 2 日本ハム,横　浜 18:00,,勝：東 敗：高梨
,中日 5 - 4 ソフトバンク,ナゴヤドーム 18:00,,勝：松坂 敗：千賀
,阪神 中止 ロッテ,甲子園 18:00,,
,広島 7 - 0 楽天,マツダスタジアム 18:00,,勝：大瀬良 敗：辛島
6/9（土）,巨人 8 - 5 西武,東京ドーム 18:00,,勝：田原 敗：多和田
