月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
3/29（金）,DeNA 8 - 1 中日,横　浜 18:30,,勝：今永 敗：又吉
,阪神 2 - 1 ヤクルト,京セラD大阪 18:00,,勝：桑原 敗：石山
,広島 5 - 0 巨人,マツダスタジアム 18:00,,勝：大瀬良 敗：菅野
,日本ハム 7 - 3 オリックス,札幌ドーム 18:30,,勝：浦野 敗：岩本
,ロッテ 5 - 4 楽天,ZOZOマリン 18:30,,勝：酒居 敗：石橋
,ソフトバンク 5 - 4 西武,ヤフオクドーム 18:30,,勝：甲斐野 敗：ヒース
3/30（土）,DeNA 1 - 9 中日,横　浜 14:00,,勝：山井 敗：京山
,阪神 1 - 0 ヤクルト,京セラD大阪 14:00,,勝：岩貞 敗：石川
,広島 2 - 5 巨人,マツダスタジアム 14:00,,勝：ヤングマン 敗：床田
,日本ハム 4 - 4 オリックス,札幌ドーム 14:30,,分：玉井 分：近藤
,ロッテ 3 - 9 楽天,ZOZOマリン 14:00,,勝：美馬 敗：ボルシンガー
,ソフトバンク 6 - 5 西武,ヤフオクドーム 13:00,,勝：ミランダ 敗：今井
3/31（日）,DeNA 3 - 2 中日,横　浜 13:00,,勝：山﨑 敗：小熊
,阪神 1 - 2 ヤクルト,京セラD大阪 14:00,,勝：高梨 敗：西
,広島 3 - 6 巨人,マツダスタジアム 13:30,,勝：中川 敗：中﨑
,日本ハム 3 - 1 オリックス,札幌ドーム 14:00,,勝：有原 敗：榊原
,ロッテ 4 - 9 楽天,ZOZOマリン 14:00,,勝：石橋 敗：有吉
,ソフトバンク 3 - 1 西武,ヤフオクドーム 13:00,,勝：高橋礼 敗：髙橋光
