月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
10/1（土）,阪神 6 - 0 巨人,甲子園 14:00,,勝：岩　貞 敗：大竹寛
,広島 3 - 1 ヤクルト,マツダスタジアム 18:00,,勝：黒　田 敗：小　川
,楽天 8 - 1 オリックス,Koboスタ宮城 18:00,,勝：安　樂 敗：ディクソン
10/2（日）,楽天 7 - 0 ソフトバンク,Koboスタ宮城 14:00,,勝：則　本 敗：バンデンハーク
10/3（月）,,,,
10/4（火）,ロッテ 4 - 2 楽天,QVCマリン 18:15,,勝：唐　川 敗：美　馬
10/5（水）,ロッテ 7 - 1 楽天,QVCマリン 18:15,,勝：スタンリッジ 敗：塩　見
10/6（木）,,,,
10/7（金）,,,,
10/8（土）,巨人 3 - 5 DeNA,東京ドーム 14:00,,勝：井　納 敗：マイコラス
,ソフトバンク 4 - 3 ロッテ,ヤフオクドーム 13:00,,勝：スアレス 敗：　内
10/9（日）,巨人 2 - 1 DeNA,東京ドーム 14:00,,勝：マシソン 敗：三　上
,ソフトバンク 4 - 1 ロッテ,ヤフオクドーム 13:00,,勝：バンデンハーク 敗：石　川
10/10（月）,巨人 3 - 4 DeNA,東京ドーム 14:00,,勝：田　中 敗：澤　村
10/11（火）,,,,
10/12（水）,広島 5 - 0 DeNA,マツダスタジアム 18:00,,勝：ジョンソン 敗：モスコーソ
,日本ハム 6 - 0 ソフトバンク,札幌ドーム 18:00,,勝：大　谷 敗：武　田
10/13（木）,広島 3 - 0 DeNA,マツダスタジアム 18:00,,勝：野　村 敗：三　嶋
,日本ハム 4 - 6 ソフトバンク,札幌ドーム 18:00,,勝：岩　嵜 敗：マーティン
10/14（金）,広島 0 - 3 DeNA,マツダスタジアム 18:00,,勝：井　納 敗：黒　田
,日本ハム 4 - 1 ソフトバンク,札幌ドーム 18:00,,勝：有　原 敗：千　賀
10/15（土）,広島 8 - 7 DeNA,マツダスタジアム 13:30,,勝：岡　田 敗：今　永
,日本ハム 2 - 5 ソフトバンク,札幌ドーム 14:00,,勝：バンデンハーク 敗：高　梨
10/16（日）,日本ハム 7 - 4 ソフトバンク,札幌ドーム 14:00,,勝：バース 敗：東　浜
10/17（月）,,,,
10/18（火）,,,,
10/19（水）,,,,
10/20（木）,,,,
10/21（金）,,,,
10/22（土）,広島 5 - 1 日本ハム,マツダスタジアム 18:30,,勝：ジョンソン 敗：大　谷
10/23（日）,広島 5 - 1 日本ハム,マツダスタジアム 18:30,,勝：野　村 敗：増　井
10/24（月）,,,,
10/25（火）,日本ハム 4 - 3 広島,札幌ドーム 18:30,,勝：バース 敗：大瀬良
10/26（水）,日本ハム 3 - 1 広島,札幌ドーム 18:30,,勝：谷　元 敗：ジャクソン
10/27（木）,日本ハム 5 - 1 広島,札幌ドーム 18:00,,勝：バース 敗：中　﨑
10/28（金）,,,,
10/29（土）,広島 4 - 10 日本ハム,マツダスタジアム 18:30,,勝：バース 敗：ジャクソン
10/30（日）,,,,
10/31（月）,,,,
