月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
4/1（金）,ヤクルト 4 - 1 中日,神　宮 18:00,,勝：小　川 敗：大　野
,DeNA 2 - 1 阪神,横　浜 18:00,,勝：須　田 敗：能　見
,広島 4 - 6 巨人,マツダスタジアム 18:00,,勝：澤　村 敗：今　村
,日本ハム 4 - 3 ソフトバンク,静　岡 18:00,,勝：高　梨 敗：　森
,楽天 4 - 2 西武,Koboスタ宮城 13:00,,勝：則　本 敗：菊　池
,オリックス 3 - 4 ロッテ,京セラD大阪 18:00,,勝：涌　井 敗：佐藤達
4/2（土）,ヤクルト 7 - 1 中日,神　宮 14:00,,勝：石　川 敗：山　井
,DeNA 0 - 5 阪神,横　浜 14:00,,勝：岩　貞 敗：久保康
,広島 3 - 0 巨人,マツダスタジアム 14:00,,勝：黒　田 敗：田　口
,日本ハム 3 - 4 ソフトバンク,東京ドーム 18:00,,勝：バンデンハーク 敗：メンドーサ
,楽天 15 - 4 西武,Koboスタ宮城 13:00,,勝：塩　見 敗：十　亀
,オリックス 2 - 6 ロッテ,京セラD大阪 14:00,,勝：大嶺祐 敗：佐藤達
4/3（日）,ヤクルト 2 - 3 中日,神　宮 13:00,,勝：ネイラー 敗：　原樹
,DeNA 3 - 8 阪神,横　浜 13:00,,勝：藤　川 敗：石　田
,広島 3 - 4 巨人,マツダスタジアム 13:30,,勝：澤　村 敗：ジャクソン
,日本ハム 4 - 3 ソフトバンク,東京ドーム 14:00,,勝：有　原 敗：武　田
,楽天 2 - 3 西武,Koboスタ宮城 13:00,,勝：髙橋朋 敗：福　山
,オリックス 3 - 1 ロッテ,京セラD大阪 13:00,,勝：ディクソン 敗：スタンリッジ
4/4（月）,,,,
4/5（火）,巨人 2 - 8 阪神,東京ドーム 18:00,,勝：藤　浪 敗：ポレダ
,中日 1 - 0 DeNA,ナゴヤドーム 18:00,,勝：若　松 敗：今　永
,広島 12 - 5 ヤクルト,マツダスタジアム 18:00,,勝：野　村 敗：成　瀬
,西武 10 - 0 日本ハム,西武プリンス 18:00,,勝：　岸 敗：吉　川
,オリックス 0 - 11 楽天,京セラD大阪 18:00,,勝：辛　島 敗：　西
,ソフトバンク 4 - 4 ロッテ,ヤフオクドーム 18:00,,分：　森 分：　南
4/6（水）,巨人 3 - 0 阪神,東京ドーム 18:00,,勝：菅　野 敗：岩　田
,中日 3 - 0 DeNA,ナゴヤドーム 18:00,,勝：小　熊 敗：モスコーソ
,広島 6 - 3 ヤクルト,マツダスタジアム 18:00,,勝：ジョンソン 敗：寺　田
,西武 5 - 2 日本ハム,西武プリンス 18:00,,勝：野　上 敗：バース
,オリックス 2 - 5 楽天,京セラD大阪 18:00,,勝：美　馬 敗：東　明
,ソフトバンク 3 - 4 ロッテ,ヤフオクドーム 18:00,,勝：　内 敗：サファテ
4/7（木）,巨人 1 - 10 阪神,東京ドーム 18:00,,勝：メッセンジャー 敗：平　良
,中日 1 - 1 DeNA,ナゴヤドーム 18:00,,分：　福 分：ペトリック
,オリックス 中止 楽天,ほっと神戸 18:00,,
,ソフトバンク 8 - 17 ロッテ,ヤフオクドーム 18:00,,勝：涌　井 敗：攝　津
4/8（金）,DeNA 2 - 3 ヤクルト,横　浜 18:00,,勝：小　川 敗：井　納
,中日 3 - 2 巨人,ナゴヤドーム 18:00,,勝：大　野 敗：高　木
,阪神 3 - 2 広島,甲子園 18:00,,勝：髙　橋 敗：中　﨑
,楽天 5 - 3 日本ハム,Koboスタ宮城 18:00,,勝：則　本 敗：メンドーサ
,ロッテ 3 - 5 西武,QVCマリン 18:30,,勝：菊　池 敗：古　谷
4/9（土）,DeNA 10 - 5 ヤクルト,横　浜 14:00,,勝：山　口 敗：石　川
,中日 0 - 0 巨人,ナゴヤドーム 15:00,,分：山　井 分：田原誠
,阪神 2 - 6 広島,甲子園 14:00,,勝：永　川 敗：榎　田
,楽天 7 - 9 日本ハム,Koboスタ宮城 14:00,,勝：マーティン 敗：リ　ズ
,ロッテ 4 - 5 西武,QVCマリン 14:00,,勝：牧　田 敗：　南
,ソフトバンク 13 - 1 オリックス,鹿児島 13:00,,勝：バンデンハーク 敗：金子千尋
4/10（日）,DeNA 6 - 5 ヤクルト,横　浜 13:00,,勝：石　田 敗：　原樹
