月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
10/1（火）,,,,
10/2（水）,,,,
10/3（木）,,,,
10/4（金）,,,,
10/5（土）,DeNA 7 - 8 阪神,横　浜 14:00,,勝：ドリス 敗：エスコバー
,ソフトバンク 3 - 5 楽天,ヤフオクドーム 13:00,,勝：則本昂 敗：千賀
10/6（日）,DeNA 6 - 4 阪神,横　浜 14:00,,勝：山﨑 敗：岩崎
,ソフトバンク 6 - 4 楽天,ヤフオクドーム 13:00,,勝：嘉弥真 敗：美馬
10/7（月）,DeNA 1 - 2 阪神,横　浜 18:00,,勝：ドリス 敗：エスコバー
,ソフトバンク 2 - 1 楽天,ヤフオクドーム 18:00,,勝：甲斐野 敗：宋家豪
10/8（火）,,,,
10/9（水）,巨人 5 - 2 阪神,東京ドーム 18:00,,勝：山口 敗：望月
,西武 4 - 8 ソフトバンク,メットライフ 18:00,,勝：甲斐野 敗：平井
10/10（木）,巨人 6 - 0 阪神,東京ドーム 18:00,,勝：メルセデス 敗：髙橋遥
,西武 6 - 8 ソフトバンク,メットライフ 18:00,,勝：石川 敗：今井
10/11（金）,巨人 6 - 7 阪神,東京ドーム 18:00,,勝：藤川 敗：中川
,西武 0 - 7 ソフトバンク,メットライフ 18:00,,勝：千賀 敗：十亀
10/12（土）,巨人 中止 阪神,東京ドーム 18:00,,
,西武 中止 ソフトバンク,メットライフ 14:00,,
10/13（日）,巨人 4 - 1 阪神,東京ドーム 15:30,,勝：大竹 敗：西
,西武 3 - 9 ソフトバンク,メットライフ 14:00,,勝：髙橋純 敗：本田
10/14（月）,,,,
10/15（火）,,,,
10/16（水）,,,,
10/17（木）,,,,
10/18（金）,,,,
10/19（土）,ソフトバンク 7 - 2 巨人,ヤフオクドーム 18:30,,勝：千賀 敗：山口
10/20（日）,ソフトバンク 6 - 3 巨人,ヤフオクドーム 18:30,,勝：高橋礼 敗：大竹
10/21（月）,,,,
10/22（火）,巨人 2 - 6 ソフトバンク,東京ドーム 18:15,,勝：石川 敗：戸郷
10/23（水）,巨人 3 - 4 ソフトバンク,東京ドーム 18:15,,勝：和田 敗：菅野
10/24（木）,,,,
10/25（金）,,,,
10/26（土）,,,,
10/27（日）,,,,
10/28（月）,,,,
10/29（火）,,,,
10/30（水）,,,,
10/31（木）,,,,
