月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
6/1（土）,巨人 6 - 5 中日,東京ドーム 14:00,,勝：中川 敗：ロドリゲス
,DeNA 7 - 0 ヤクルト,横　浜 14:00,,勝：上茶谷 敗：清水
,広島 7 - 2 阪神,マツダスタジアム 14:00,,勝：ジョンソン 敗：岩田
,ロッテ 8 - 7 西武,ZOZOマリン 14:00,,勝：唐川 敗：平井
,オリックス 8 - 8 日本ハム,京セラD大阪 14:00,,分：山﨑福 分：秋吉
,ソフトバンク 5 - 6 楽天,ヤフオクドーム 14:00,,勝：岸 敗：高橋礼
6/2（日）,巨人 3 - 1 中日,東京ドーム 14:00,,勝：山口 敗：ロメロ
,DeNA 2 - 5 ヤクルト,横　浜 13:00,,勝：原 敗：濵口
,広島 5 - 7 阪神,マツダスタジアム 13:30,,勝：ガルシア 敗：アドゥワ
,ロッテ 8 - 1 西武,ZOZOマリン 14:00,,勝：石川 敗：松本航
,オリックス 5 - 8 日本ハム,京セラD大阪 13:00,,勝：上原 敗：K-鈴木
,ソフトバンク 1 - 4 楽天,ヤフオクドーム 13:00,,勝：美馬 敗：スアレス
6/3（月）,,,,
6/4（火）,日本ハム 7 - 6 ヤクルト,札幌ドーム 18:00,,勝：堀 敗：山中
,楽天 2 - 3 巨人,楽天生命パーク 18:00,,勝：田原 敗：松井
,西武 5 - 4 広島,メットライフ 18:00,,勝：マーティン 敗：菊池保
,ロッテ 3 - 11 阪神,ZOZOマリン 18:15,,勝：メッセンジャー 敗：涌井
,オリックス 1 - 3 DeNA,京セラD大阪 18:00,,勝：大貫 敗：山本
,ソフトバンク 6 - 4 中日,ヤフオクドーム 18:00,,勝：バンデンハーク 敗：阿知羅
6/5（水）,日本ハム 0 - 5 ヤクルト,札幌ドーム 18:00,,勝：石川 敗：杉浦
,楽天 4 - 2 巨人,楽天生命パーク 18:00,,勝：ブセニッツ 敗：田原
,西武 1 - 9 広島,メットライフ 18:00,,勝：大瀬良 敗：十亀
,ロッテ 5 - 4 阪神,ZOZOマリン 18:15,,勝：岩下 敗：青柳
,オリックス 5 - 0 DeNA,京セラD大阪 18:00,,勝：田嶋 敗：平良
,ソフトバンク 5 - 2 中日,ヤフオクドーム 18:00,,勝：椎野 敗：大野雄
6/6（木）,日本ハム 3 - 1 ヤクルト,札幌ドーム 18:00,,勝：加藤 敗：小川
,楽天 1 - 2 巨人,楽天生命パーク 18:00,,勝：桜井 敗：石橋
,西武 9 - 2 広島,メットライフ 18:00,,勝：郭 敗：山口
,ロッテ 3 - 4 阪神,ZOZOマリン 18:15,,勝：ドリス 敗：益田
,オリックス 3 - 2 DeNA,京セラD大阪 18:00,,勝：榊原 敗：東
,ソフトバンク 6 - 4 中日,ヤフオクドーム 18:00,,勝：大竹 敗：ロドリゲス
6/7（金）,巨人 4 - 3 ロッテ,東京ドーム 18:00,,勝：メルセデス 敗：二木
,ヤクルト 中止 オリックス,神　宮 18:00,,
,DeNA 2 - 6 西武,横　浜 18:00,,勝：髙橋光 敗：今永
,中日 13 - 3 楽天,ナゴヤドーム 18:00,,勝：柳 敗：辛島
,阪神 2 - 3 日本ハム,甲子園 18:00,,勝：有原 敗：西
,広島 3 - 6 ソフトバンク,マツダスタジアム 18:00,,勝：千賀 敗：床田
6/8（土）,巨人 5 - 6 ロッテ,東京ドーム 14:00,,勝：田中 敗：中川
,ヤクルト 4 - 5 オリックス,神　宮 14:00,,勝：山岡 敗：ブキャナン
,DeNA 7 - 3 西武,横　浜 14:00,,勝：井納 敗：榎田
,中日 1 - 2 楽天,ナゴヤドーム 14:00,,勝：岸 敗：ロメロ
,阪神 5 - 10 日本ハム,甲子園 14:00,,勝：金子 敗：岩田
,広島 2 - 4 ソフトバンク,マツダスタジアム 14:00,,勝：高橋礼 敗：ジョンソン
6/9（日）,巨人 11 - 3 ロッテ,東京ドーム 14:00,,勝：菅野 敗：石川
,ヤクルト 9 - 4 オリックス,神　宮 13:00,,勝：近藤 敗：小林
,DeNA 6 - 4 西武,横　浜 13:00,,勝：エスコバー 敗：ヒース
,中日 2 - 5 楽天,ナゴヤドーム 14:00,,勝：美馬 敗：清水
,阪神 4 - 3 日本ハム,甲子園 14:00,,勝：藤川 敗：秋吉
,広島 3 - 2 ソフトバンク,マツダスタジアム 13:30,,勝：九里 敗：松本
6/10（月）,,,,
6/11（火）,日本ハム 5 - 4 広島,札幌ドーム 18:00,,勝：上沢 敗：野村
,楽天 3 - 1 ヤクルト,郡　山 18:00,,勝：塩見 敗：原
,西武 4 - 0 巨人,メットライフ 18:00,,勝：マーティン 敗：今村
,ロッテ 3 - 6 DeNA,ZOZOマリン 18:15,,勝：濵口 敗：涌井
,オリックス 1 - 2 中日,京セラD大阪 18:00,,勝：岡田 敗：近藤
,ソフトバンク 2 - 2 阪神,ヤフオクドーム 18:00,,分：武田 分：ドリス
6/12（水）,日本ハム 2 - 1 広島,札幌ドーム 18:00,,勝：吉田輝 敗：大瀬良
,楽天 7 - 4 ヤクルト,楽天生命パーク 18:00,,勝：久保 敗：館山
,西武 4 - 9 巨人,メットライフ 18:00,,勝：高木 敗：十亀
,ロッテ 5 - 6 DeNA,ZOZOマリン 18:15,,勝：三嶋 敗：酒居
,オリックス 2 - 6 中日,京セラD大阪 18:00,,勝：大野雄 敗：近藤
,ソフトバンク 2 - 8 阪神,ヤフオクドーム 18:00,,勝：青柳 敗：和田
6/13（木）,日本ハム 2 - 2 広島,札幌ドーム 18:00,,分：吉田侑 分：中﨑
,楽天 3 - 11 ヤクルト,楽天生命パーク 18:00,,勝：マクガフ 敗：青山
,西武 2 - 8 巨人,メットライフ 18:00,,勝：桜井 敗：郭
,ロッテ 3 - 1 DeNA,ZOZOマリン 18:15,,勝：種市 敗：阪口
,オリックス 6 - 5 中日,京セラD大阪 18:00,,勝：増井 敗：R.マルティネス
,ソフトバンク 3 - 0 阪神,ヤフオクドーム 18:00,,勝：大竹 敗：髙橋遥
6/14（金）,日本ハム 5 - 4 巨人,札幌ドーム 18:00,,勝：有原 敗：高木
,楽天 11 - 2 広島,楽天生命パーク 18:00,,勝：辛島 敗：床田
,西武 11 - 1 ヤクルト,メットライフ 18:00,,勝：髙橋光 敗：ブキャナン
,ロッテ 1 - 4 中日,ZOZOマリン 18:00,,勝：柳 敗：二木
,オリックス 6 - 4 阪神,京セラD大阪 18:00,,勝：エップラー 敗：西
,ソフトバンク 4 - 5 DeNA,ヤフオクドーム 18:00,,勝：今永 敗：千賀
6/15（土）,日本ハム 5 - 8 巨人,札幌ドーム 14:00,,勝：山口 敗：金子
,楽天 中止 広島,楽天生命パーク 14:00,,
,西武 5 - 6 ヤクルト,メットライフ 14:00,,勝：マクガフ 敗：増田
,ロッテ 中止 中日,ZOZOマリン 14:00,,
,オリックス 3 - 2 阪神,京セラD大阪 18:00,,勝：エップラー 敗：ドリス
,ソフトバンク 4 - 3 DeNA,ヤフオクドーム 14:00,,勝：高橋礼 敗：井納
6/16（日）,日本ハム 3 - 7 巨人,札幌ドーム 14:00,,勝：菅野 敗：杉浦
,楽天 2 - 4 広島,楽天生命パーク 13:00,,勝：ジョンソン 敗：岸
,西武 10 - 6 ヤクルト,メットライフ 13:00,,勝：松本航 敗：高橋
,ロッテ 8 - 7 中日,ZOZOマリン 14:00,,勝：田中 敗：R.マルティネス
,オリックス 5 - 5 阪神,京セラD大阪 14:00,,分：比嘉 分：浜地
,ソフトバンク 2 - 2 DeNA,ヤフオクドーム 13:00,,分：髙橋純 分：山﨑
6/17（月）,ロッテ 4 - 5 中日,ZOZOマリン 18:15,,勝：ロメロ 敗：中村稔
6/18（火）,巨人 4 - 3 オリックス,東京ドーム 18:00,,勝：田原 敗：海田
,ヤクルト 4 - 6 ソフトバンク,神　宮 18:00,,勝：松本 敗：原
,DeNA 3 - 0 日本ハム,横　浜 18:00,,勝：平良 敗：上沢
,中日 2 - 16 西武,ナゴヤドーム 18:00,,勝：今井 敗：阿知羅
,阪神 3 - 5 楽天,倉　敷 18:00,,勝：ハーマン 敗：守屋
,広島 2 - 6 ロッテ,マツダスタジアム 18:00,,勝：田中 敗：中﨑
