月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
9/1（日）,中日 1 - 3 ヤクルト,ナゴヤドーム 14:00,,勝：高梨 敗：大野雄
,阪神 2 - 0 巨人,甲子園 18:00,,勝：岩貞 敗：今村
,広島 2 - 3 DeNA,マツダスタジアム 18:00,,勝：今永 敗：薮田
,楽天 2 - 1 日本ハム,楽天生命パーク 15:00,,勝：石橋 敗：金子
,西武 1 - 4 ソフトバンク,メットライフ 17:00,,勝：武田 敗：十亀
,ロッテ 8 - 6 オリックス,ZOZOマリン 17:00,,勝：東妻 敗：近藤
9/2（月）,ロッテ 2 - 2 オリックス,ZOZOマリン 18:15,,分：チェン・グァンユウ 分：岩本
9/3（火）,巨人 3 - 4 中日,新　潟 18:00,,勝：梅津 敗：メルセデス
,ヤクルト 0 - 3 広島,神　宮 18:00,,勝：ジョンソン 敗：高橋
,DeNA ノーゲーム 阪神,横　浜 18:00,,
,ロッテ 2 - 0 日本ハム,ZOZOマリン 18:15,,勝：石川 敗：ロドリゲス
,オリックス 1 - 5 西武,ほっと神戸 18:00,,勝：ニール 敗：荒西
,ソフトバンク 3 - 2 楽天,ヤフオクドーム 18:00,,勝：高橋礼 敗：岸
9/4（水）,巨人 4 - 8 中日,前　橋 18:00,,勝：小笠原 敗：菅野
,ヤクルト 11 - 7 広島,神　宮 18:00,,勝：マクガフ 敗：フランスア
,DeNA 7 - 5 阪神,横　浜 18:00,,勝：エスコバー 敗：能見
,ロッテ 4 - 2 日本ハム,ZOZOマリン 18:15,,勝：益田 敗：秋吉
,オリックス 2 - 10 西武,ほっと神戸 18:00,,勝：榎田 敗：張
,ソフトバンク 5 - 1 楽天,ヤフオクドーム 18:00,,勝：ミランダ 敗：則本昂
9/5（木）,巨人 2 - 3 中日,東京ドーム 18:00,,勝：福 敗：中川
,ヤクルト 1 - 8 広島,神　宮 18:00,,勝：床田 敗：山田大
,DeNA 2 - 9 阪神,横　浜 18:00,,勝：青柳 敗：大貫
,オリックス 3 - 7 西武,ほっと神戸 18:00,,勝：松本航 敗：岩本
,ソフトバンク 3 - 2 楽天,ヤフオクドーム 18:00,,勝：椎野 敗：美馬
9/6（金）,ヤクルト 5 - 2 巨人,神　宮 18:00,,勝：石川 敗：髙橋
,中日 8 - 4 DeNA,ナゴヤドーム 18:00,,勝：又吉 敗：平良
,広島 6 - 3 阪神,マツダスタジアム 18:00,,勝：九里 敗：髙橋遥
,日本ハム 6 - 2 オリックス,札幌ドーム 18:00,,勝：杉浦 敗：山岡
,楽天 4 - 5 西武,楽天生命パーク 18:00,,勝：今井 敗：弓削
,ソフトバンク 2 - 0 ロッテ,ヤフオクドーム 18:00,,勝：千賀 敗：ボルシンガー
9/7（土）,ヤクルト 6 - 10 巨人,神　宮 17:00,,勝：山口 敗：大下
,中日 8 - 3 DeNA,ナゴヤドーム 14:00,,勝：柳 敗：上茶谷
,広島 3 - 7 阪神,マツダスタジアム 14:00,,勝：西 敗：薮田
,日本ハム 8 - 7 オリックス,札幌ドーム 14:00,,勝：有原 敗：アルバース
,楽天 5 - 3 西武,楽天生命パーク 14:00,,勝：辛島 敗：髙橋光
,ソフトバンク 0 - 4 ロッテ,ヤフオクドーム 18:00,,勝：西野 敗：和田
9/8（日）,ヤクルト 中止 巨人,神　宮 17:00,,
,中日 5 - 2 DeNA,ナゴヤドーム 14:00,,勝：大野雄 敗：齋藤
,広島 3 - 2 阪神,マツダスタジアム 13:30,,勝：ジョンソン 敗：岩貞
