月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
3/25（金）,巨人 3 - 1 ヤクルト,東京ドーム 18:00,,勝：菅　野 敗：小　川
,阪神 2 - 5 中日,京セラD大阪 18:00,,勝：大　野 敗：メッセンジャー
,広島 1 - 2 DeNA,マツダスタジアム 18:00,,勝：井　納 敗：ジョンソン
,楽天 7 - 3 ソフトバンク,Koboスタ宮城 16:00,,勝：則　本 敗：攝　津
,西武 5 - 4 オリックス,西武プリンス 18:00,,勝：増　田 敗：コーディエ
,ロッテ 3 - 2 日本ハム,QVCマリン 18:30,,勝：涌　井 敗：大　谷
3/26（土）,巨人 10 - 5 ヤクルト,東京ドーム 14:00,,勝：高　木 敗：石　川
,阪神 7 - 3 中日,京セラD大阪 14:00,,勝：能　見 敗：山　井
,広島 3 - 1 DeNA,マツダスタジアム 14:00,,勝：黒　田 敗：久保康
,楽天 3 - 3 ソフトバンク,Koboスタ宮城 13:00,,分：福　山 分：サファテ
,西武 9 - 5 オリックス,西武プリンス 14:00,,勝：牧　田 敗：小　松
,ロッテ 6 - 4 日本ハム,QVCマリン 14:00,,勝：藤　岡 敗：鍵　谷
3/27（日）,巨人 3 - 2 ヤクルト,東京ドーム 14:00,,勝：マシソン 敗：秋　吉
,阪神 5 - 4 中日,京セラD大阪 14:00,,勝：榎　田 敗：岡　田
,広島 6 - 3 DeNA,マツダスタジアム 13:30,,勝：オスカル 敗：須　田
,楽天 0 - 7 ソフトバンク,Koboスタ宮城 13:00,,勝：武　田 敗：青　山
,西武 4 - 5 オリックス,西武プリンス 13:00,,勝：ディクソン 敗：バンヘッケン
,ロッテ 0 - 1 日本ハム,QVCマリン 13:00,,勝：有　原 敗：スタンリッジ
3/28（月）,,,,
3/29（火）,ヤクルト 2 - 6 阪神,神　宮 18:00,,勝：藤　浪 敗：館　山
,DeNA 2 - 6 巨人,横　浜 18:30,,勝：ポレダ 敗：今　永
,中日 4 - 2 広島,ナゴヤドーム 18:15,,勝：若　松 敗：野　村
,日本ハム 13 - 3 オリックス,札幌ドーム 19:00,,勝：吉　川 敗：　西
,ロッテ 12 - 2 楽天,QVCマリン 13:00,,勝：石　川 敗：辛　島
,ソフトバンク 2 - 6 西武,ヤフオクドーム 18:30,,勝：　岸 敗：和　田
3/30（水）,ヤクルト 8 - 4 阪神,神　宮 18:00,,勝：成　瀬 敗：岩　田
,DeNA 6 - 3 巨人,横　浜 18:00,,勝：モスコーソ 敗：桜　井
,中日 3 - 11 広島,ナゴヤドーム 18:00,,勝：横　山 敗：濱田達
,日本ハム 4 - 5 オリックス,札幌ドーム 19:00,,勝：東　明 敗：バース
,ロッテ 0 - 5 楽天,QVCマリン 13:00,,勝：美　馬 敗：二　木
,ソフトバンク 5 - 4 西武,ヤフオクドーム 18:00,,勝：千　賀 敗：野　上
3/31（木）,ヤクルト 6 - 6 阪神,神　宮 18:00,,分：久　古 分：榎　田
,DeNA 4 - 6 巨人,横　浜 18:00,,勝：澤　村 敗：福　地
,中日 9 - 5 広島,ナゴヤドーム 18:00,,勝：小　熊 敗：中　田
