月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
5/1（水）,巨人 5 - 1 中日,東京ドーム 14:00,,勝：菅野 敗：山井
,DeNA 5 - 1 ヤクルト,横　浜 14:00,,勝：大貫 敗：高橋
,阪神 6 - 2 広島,甲子園 14:00,,勝：才木 敗：野村
,西武 2 - 7 日本ハム,メットライフ 18:00,,勝：ロドリゲス 敗：髙橋光
,オリックス 0 - 4 ロッテ,京セラD大阪 17:00,,勝：涌井 敗：榊原
,ソフトバンク 0 - 9 楽天,ヤフオクドーム 18:00,,勝：辛島 敗：武田
5/2（木）,巨人 9 - 3 中日,東京ドーム 14:00,,勝：高木 敗：ロメロ
,DeNA 2 - 0 ヤクルト,横　浜 14:00,,勝：今永 敗：スアレス
,阪神 0 - 4 広島,甲子園 14:00,,勝：フランスア 敗：ドリス
,西武 5 - 3 日本ハム,メットライフ 14:00,,勝：榎田 敗：金子
,オリックス 2 - 1 ロッテ,京セラD大阪 13:00,,勝：澤田 敗：酒居
,ソフトバンク 1 - 0 楽天,ヤフオクドーム 13:00,,勝：大竹 敗：古川
5/3（金）,中日 2 - 7 ヤクルト,ナゴヤドーム 14:00,,勝：小川 敗：又吉
,阪神 2 - 1 DeNA,甲子園 14:00,,勝：ジョンソン 敗：三嶋
,広島 6 - 3 巨人,マツダスタジアム 18:00,,勝：フランスア 敗：田原
,西武 3 - 10 日本ハム,メットライフ 13:00,,勝：加藤 敗：相内
,オリックス 3 - 1 ロッテ,京セラD大阪 13:00,,勝：山岡 敗：二木
,ソフトバンク 12 - 11 楽天,ヤフオクドーム 13:00,,勝：加治屋 敗：高梨
5/4（土）,中日 4 - 8 ヤクルト,ナゴヤドーム 14:00,,勝：高梨 敗：柳
,阪神 5 - 1 DeNA,甲子園 14:00,,勝：メッセンジャー 敗：バリオス
,広島 3 - 2 巨人,マツダスタジアム 14:00,,勝：レグナルト 敗：野上
,西武 7 - 6 楽天,メットライフ 14:00,,勝：増田 敗：宋家豪
,ロッテ 3 - 2 日本ハム,ZOZOマリン 14:00,,勝：田中 敗：宮西
,ソフトバンク 4 - 0 オリックス,ヤフオクドーム 14:00,,勝：千賀 敗：成瀬
5/5（日）,中日 6 - 5 ヤクルト,ナゴヤドーム 14:00,,勝：阿知羅 敗：寺原
,阪神 7 - 5 DeNA,甲子園 14:00,,勝：ドリス 敗：三嶋
,広島 3 - 3 巨人,マツダスタジアム 13:30,,分：フランスア 分：田口
,西武 4 - 0 楽天,メットライフ 13:00,,勝：今井 敗：石橋
,ロッテ 1 - 4 日本ハム,ZOZOマリン 14:00,,勝：バーベイト 敗：石川
,ソフトバンク 7 - 2 オリックス,ヤフオクドーム 13:00,,勝：ミランダ 敗：K-鈴木
5/6（月）,ヤクルト 4 - 2 阪神,神　宮 18:00,,勝：ブキャナン 敗：青柳
,DeNA 2 - 10 巨人,横　浜 17:00,,勝：髙橋 敗：東
,中日 2 - 7 広島,ナゴヤドーム 18:00,,勝：菊池保 敗：谷元
,西武 4 - 8 楽天,メットライフ 13:00,,勝：福井 敗：本田
