月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
8/1（水）,ヤクルト 7 - 13 広島,神　宮 18:00,,勝：九里 敗：ブキャナン
,DeNA 1 - 7 巨人,横　浜 17:45,,勝：吉川光 敗：濵口
,中日 8 - 5 阪神,ナゴヤドーム 18:00,,勝：松坂 敗：才木
,日本ハム 8 - 7 ロッテ,帯　広 13:00,,勝：浦野 敗：益田
,西武 6 - 14 ソフトバンク,メットライフ 18:00,,勝：大竹 敗：高木勇
,オリックス 2 - 4 楽天,京セラD大阪 18:00,,勝：ハーマン 敗：吉田一
8/2（木）,ヤクルト 10 - 4 広島,神　宮 18:00,,勝：原 敗：岡田
,DeNA 2 - 3 巨人,横　浜 17:45,,勝：メルセデス 敗：ウィーランド
,西武 10 - 2 ソフトバンク,メットライフ 18:00,,勝：今井 敗：石川
,オリックス 2 - 3 楽天,京セラD大阪 18:00,,勝：松井 敗：増井
8/3（金）,DeNA 7 - 6 広島,横　浜 18:00,,勝：藤岡 敗：一岡
,中日 4 - 3 巨人,ナゴヤドーム 18:00,,勝：岩瀬 敗：澤村
,楽天 1 - 2 ロッテ,楽天生命パーク 18:00,,勝：松永 敗：高梨
,西武 4 - 3 日本ハム,メットライフ 18:00,,勝：平井 敗：宮西
,ソフトバンク 5 - 3 オリックス,ヤフオクドーム 18:00,,勝：バンデンハーク 敗：西
8/4（土）,DeNA 2 - 4 広島,横　浜 18:00,,勝：大瀬良 敗：京山
,中日 4 - 6 巨人,ナゴヤドーム 14:00,,勝：池田 敗：ロドリゲス
,阪神 10 - 9 ヤクルト,京セラD大阪 18:00,,勝：桑原 敗：石山
,楽天 0 - 3 ロッテ,楽天生命パーク 18:00,,勝：ボルシンガー 敗：岸
,西武 3 - 6 日本ハム,メットライフ 18:00,,勝：マルティネス 敗：ウルフ
,ソフトバンク 2 - 3 オリックス,ヤフオクドーム 14:00,,勝：岩本 敗：笠谷
8/5（日）,DeNA 5 - 6 広島,横　浜 18:00,,勝：中﨑 敗：山﨑
,中日 0 - 2 巨人,ナゴヤドーム 14:00,,勝：今村 敗：山井
,阪神 3 - 1 ヤクルト,京セラD大阪 18:00,,勝：小野 敗：石川
,楽天 4 - 2 ロッテ,楽天生命パーク 17:00,,勝：辛島 敗：涌井
,西武 7 - 4 日本ハム,メットライフ 18:00,,勝：榎田 敗：高梨
,ソフトバンク 4 - 6 オリックス,ヤフオクドーム 13:00,,勝：松葉 敗：武田
8/6（月）,,,,
8/7（火）,巨人 4 - 7 阪神,東京ドーム 18:00,,勝：岩貞 敗：内海
,ヤクルト 1 - 4 DeNA,神　宮 18:00,,勝：平良 敗：小川
,広島 6 - 2 中日,マツダスタジアム 18:00,,勝：ジョンソン 敗：ガルシア
,日本ハム 2 - 2 楽天,札幌ドーム 18:00,,分：井口 分：宋家豪
,ロッテ 2 - 3 ソフトバンク,ZOZOマリン 18:15,,勝：石川 敗：岩下
,オリックス 0 - 6 西武,京セラD大阪 18:00,,勝：多和田 敗：アルバース
8/8（水）,巨人 3 - 1 阪神,東京ドーム 18:00,,勝：吉川光 敗：才木
,ヤクルト 中止 DeNA,神　宮 18:00,,
,広島 7 - 5 中日,マツダスタジアム 18:00,,勝：一岡 敗：ロドリゲス
,日本ハム 2 - 1 楽天,札幌ドーム 18:00,,勝：村田 敗：古川
,ロッテ 中止 ソフトバンク,ZOZOマリン 18:15,,
,オリックス 6 - 7 西武,京セラD大阪 18:00,,勝：髙橋光 敗：金子千尋
8/9（木）,巨人 2 - 3 阪神,東京ドーム 18:00,,勝：桑原 敗：澤村
,ヤクルト 11 - 3 DeNA,神　宮 18:00,,勝：原 敗：ウィーランド
,広島 3 - 2 中日,マツダスタジアム 18:00,,勝：一岡 敗：ロドリゲス
,日本ハム 0 - 10 楽天,札幌ドーム 18:00,,勝：藤平 敗：堀
,オリックス 7 - 6 西武,京セラD大阪 18:00,,勝：ディクソン 敗：今井
8/10（金）,DeNA 1 - 3 阪神,横　浜 18:00,,勝：メッセンジャー 敗：東
,中日 3 - 0 ヤクルト,ナゴヤドーム 18:00,,勝：吉見 敗：ブキャナン
,広島 9 - 3 巨人,マツダスタジアム 18:00,,勝：野村 敗：メルセデス
