月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
5/1（月）,,,,
5/2（火）,巨人 5 - 0 DeNA,東京ドーム 18:00,,勝：菅野 敗：濵口
,ヤクルト 4 - 1 阪神,神　宮 18:00,,勝：ブキャナン 敗：秋山
,広島 5 - 2 中日,マツダスタジアム 18:00,,勝：野村 敗：鈴木
,日本ハム 11 - 0 ロッテ,札幌ドーム 18:00,,勝：高梨 敗：西野
,楽天 1 - 4 オリックス,Koboパーク宮城 18:00,,勝：金子千尋 敗：辛島
,ソフトバンク 14 - 4 西武,ヤフオクドーム 18:00,,勝：千賀 敗：キャンデラリオ
5/3（水）,巨人 4 - 1 DeNA,東京ドーム 18:00,,勝：大竹寛 敗：水野
,ヤクルト 4 - 8 阪神,神　宮 14:00,,勝：岩貞 敗：山中
,広島 7 - 4 中日,マツダスタジアム 13:30,,勝：中村祐 敗：吉見
,日本ハム 2 - 1 ロッテ,札幌ドーム 14:00,,勝：増井 敗：益田
,楽天 4 - 2 オリックス,Koboパーク宮城 14:00,,勝：則本 敗：松葉
,ソフトバンク 6 - 2 西武,ヤフオクドーム 13:00,,勝：東浜 敗：髙橋光
5/4（木）,巨人 2 - 5 DeNA,東京ドーム 14:00,,勝：ウィーランド 敗：宮國
,ヤクルト 1 - 7 阪神,神　宮 13:00,,勝：藤浪 敗：石川
,広島 8 - 7 中日,マツダスタジアム 13:30,,勝：ブレイシア 敗：三ツ間
,日本ハム 6 - 4 ロッテ,札幌ドーム 14:00,,勝：加藤 敗：佐々木
,楽天 2 - 1 オリックス,Koboパーク宮城 13:00,,勝：菅原 敗：ディクソン
,ソフトバンク 9 - 6 西武,ヤフオクドーム 13:00,,勝：バンデンハーク 敗：十亀
5/5（金）,DeNA 6 - 1 ヤクルト,横　浜 18:00,,勝：井納 敗：由規
,中日 2 - 3 巨人,ナゴヤドーム 14:00,,勝：マイコラス 敗：バルデス
,阪神 8 - 5 広島,甲子園 14:00,,勝：岩崎 敗：一岡
,西武 7 - 1 楽天,メットライフ 14:00,,勝：菊池 敗：釜田
,ロッテ 2 - 3 ソフトバンク,ZOZOマリン 13:00,,勝：中田 敗：益田
,オリックス 2 - 6 日本ハム,京セラD大阪 18:00,,勝：浦野 敗：西
5/6（土）,DeNA 6 - 5 ヤクルト,横　浜 14:00,,勝：砂田 敗：秋吉
,中日 1 - 6 巨人,ナゴヤドーム 14:00,,勝：田口 敗：大野
,阪神 12 - 9 広島,甲子園 14:00,,勝：髙橋 敗：薮田
,西武 2 - 10 楽天,メットライフ 13:00,,勝：美馬 敗：野上
,ロッテ 4 - 1 ソフトバンク,ZOZOマリン 13:00,,勝：二木 敗：攝津
,オリックス 2 - 5 日本ハム,京セラD大阪 13:00,,勝：有原 敗：コーク
5/7（日）,DeNA 5 - 12 ヤクルト,横　浜 13:00,,勝：星 敗：久保
,中日 8 - 1 巨人,ナゴヤドーム 14:00,,勝：ジョーダン 敗：内海
,阪神 6 - 0 広島,甲子園 14:00,,勝：能見 敗：九里
,西武 2 - 3 楽天,メットライフ 13:00,,勝：岸 敗：ウルフ
,ロッテ 2 - 8 ソフトバンク,ZOZOマリン 13:00,,勝：寺原 敗：唐川
,オリックス 4 - 3 日本ハム,京セラD大阪 13:00,,勝：赤間 敗：榎下
5/8（月）,,,,
5/9（火）,巨人 2 - 4 阪神,東京ドーム 18:00,,勝：秋山 敗：菅野
,ヤクルト 3 - 2 広島,神　宮 18:00,,勝：近藤 敗：中田
