月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
8/1（木）,巨人 2 - 8 広島,東京ドーム 18:00,,勝：野村 敗：メルセデス
,DeNA 2 - 4 ヤクルト,横　浜 17:45,,勝：山田大 敗：大貫
,阪神 3 - 2 中日,甲子園 18:00,,勝：島本 敗：ロメロ
,日本ハム 1 - 3 楽天,札幌ドーム 18:00,,勝：辛島 敗：有原
,西武 10 - 11 ソフトバンク,メットライフ 18:00,,勝：松田遼 敗：ヒース
,ロッテ 7 - 6 オリックス,ZOZOマリン 18:15,,勝：東妻 敗：エップラー
8/2（金）,ヤクルト 4 - 5 中日,神　宮 18:00,,勝：ロドリゲス 敗：マクガフ
,DeNA 4 - 2 巨人,横　浜 18:00,,勝：平良 敗：菅野
,広島 7 - 0 阪神,マツダスタジアム 18:00,,勝：大瀬良 敗：髙橋遥
,日本ハム 0 - 2 ソフトバンク,札幌ドーム 18:00,,勝：千賀 敗：堀
,楽天 5 - 2 ロッテ,楽天生命パーク 18:00,,勝：美馬 敗：二木
,オリックス 9 - 8 西武,京セラD大阪 18:00,,勝：比嘉 敗：平良
8/3（土）,ヤクルト 4 - 6 中日,神　宮 18:00,,勝：祖父江 敗：小川
,DeNA 6 - 5 巨人,横　浜 18:00,,勝：国吉 敗：中川
,広島 1 - 4 阪神,マツダスタジアム 18:00,,勝：西 敗：床田
,日本ハム 3 - 6 ソフトバンク,札幌ドーム 14:00,,勝：ミランダ 敗：金子
,楽天 0 - 0 ロッテ,楽天生命パーク 18:00,,分：小野 分：東條
,オリックス 4 - 1 西武,京セラD大阪 14:00,,勝：山本 敗：多和田
8/4（日）,ヤクルト 7 - 2 中日,神　宮 18:00,,勝：高橋 敗：笠原
,DeNA 3 - 2 巨人,横　浜 18:00,,勝：今永 敗：桜井
,広島 10 - 5 阪神,マツダスタジアム 18:00,,勝：九里 敗：岩田
,日本ハム 4 - 3 ソフトバンク,札幌ドーム 14:00,,勝：ロドリゲス 敗：二保
,楽天 2 - 11 ロッテ,楽天生命パーク 17:00,,勝：種市 敗：石橋
,オリックス 4 - 5 西武,京セラD大阪 13:00,,勝：小川 敗：近藤
8/5（月）,楽天 1 - 8 ロッテ,楽天生命パーク 18:00,,勝：西野 敗：藤平
8/6（火）,ヤクルト 4 - 3 阪神,神　宮 18:00,,勝：ブキャナン 敗：ガルシア
,中日 6 - 0 巨人,ナゴヤドーム 18:00,,勝：大野雄 敗：野上
,広島 8 - 4 DeNA,マツダスタジアム 18:00,,勝：アドゥワ 敗：上茶谷
,日本ハム 0 - 5 オリックス,札幌ドーム 18:00,,勝：田嶋 敗：斎藤佑樹
,西武 0 - 10 楽天,メットライフ 18:00,,勝：弓削 敗：今井
