月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
6/1（木）,日本ハム 5 - 3 DeNA,札幌ドーム 18:00,,勝：中村 敗：井納
,楽天 3 - 2 巨人,Koboパーク宮城 18:00,,勝：則本 敗：森福
,西武 4 - 2 広島,メットライフ 18:00,,勝：十亀 敗：岡田
,ロッテ 8 - 1 阪神,ZOZOマリン 18:15,,勝：唐川 敗：メッセンジャー
,オリックス 3 - 2 ヤクルト,京セラD大阪 18:00,,勝：ディクソン 敗：由規
,ソフトバンク 1 - 5 中日,ヤフオクドーム 18:00,,勝：鈴木 敗：中田
6/2（金）,巨人 5 - 6 オリックス,東京ドーム 18:00,,勝：黒木 敗：今村
,ヤクルト 2 - 3 西武,神　宮 18:00,,勝：菊池 敗：原樹
,DeNA 4 - 6 ソフトバンク,横　浜 18:00,,勝：バンデンハーク 敗：クライン
,中日 6 - 3 楽天,ナゴヤドーム 18:00,,勝：小笠原 敗：古川
,阪神 2 - 4 日本ハム,甲子園 18:00,,勝：玉井 敗：ドリス
,広島 4 - 5 ロッテ,マツダスタジアム 18:00,,勝：松永 敗：ブレイシア
6/3（土）,巨人 4 - 5 オリックス,東京ドーム 14:00,,勝：松葉 敗：田口
,ヤクルト 2 - 11 西武,神　宮 14:00,,勝：佐野 敗：館山
,DeNA 3 - 7 ソフトバンク,横　浜 14:00,,勝：松本裕 敗：平良
,中日 1 - 5 楽天,ナゴヤドーム 14:00,,勝：美馬 敗：柳
,阪神 4 - 2 日本ハム,甲子園 18:00,,勝：青柳 敗：メンドーサ
,広島 6 - 5 ロッテ,マツダスタジアム 14:00,,勝：一岡 敗：松永
6/4（日）,巨人 1 - 3 オリックス,東京ドーム 14:00,,勝：山岡 敗：宮國
,ヤクルト 8 - 8 西武,神　宮 13:00,,分：近藤 分：シュリッター
,DeNA 5 - 3 ソフトバンク,横　浜 13:00,,勝：今永 敗：千賀
,中日 2 - 0 楽天,ナゴヤドーム 14:00,,勝：ジョーダン 敗：岸
,阪神 4 - 3 日本ハム,甲子園 14:00,,勝：マテオ 敗：エスコバー
,広島 7 - 1 ロッテ,マツダスタジアム 13:30,,勝：中村祐 敗：佐々木
6/5（月）,,,,
6/6（火）,日本ハム 3 - 4 広島,札幌ドーム 18:00,,勝：薮田 敗：宮西
,楽天 1 - 9 DeNA,山　形 17:00,,勝：濵口 敗：辛島
,西武 8 - 5 巨人,メットライフ 18:00,,勝：牧田 敗：桜井
,ロッテ 0 - 3 中日,ZOZOマリン 18:15,,勝：又吉 敗：石川
,オリックス 4 - 11 阪神,京セラD大阪 18:00,,勝：秋山 敗：金子千尋
,ソフトバンク 2 - 1 ヤクルト,ヤフオクドーム 18:00,,勝：岩嵜 敗：山本
6/7（水）,日本ハム 3 - 8 広島,札幌ドーム 18:00,,勝：大瀬良 敗：斎藤佑樹
,楽天 6 - 10 DeNA,Koboパーク宮城 18:00,,勝：熊原 敗：森
,西武 3 - 0 巨人,メットライフ 18:00,,勝：岡本 敗：吉川光
,ロッテ 2 - 4 中日,ZOZOマリン 18:15,,勝：大野 敗：有吉
,オリックス 5 - 4 阪神,京セラD大阪 18:00,,勝：平野 敗：マテオ
,ソフトバンク 4 - 1 ヤクルト,ヤフオクドーム 18:00,,勝：石川 敗：石川
6/8（木）,日本ハム 3 - 5 広島,札幌ドーム 18:00,,勝：岡田 敗：浦野
,楽天 8 - 2 DeNA,Koboパーク宮城 18:00,,勝：則本 敗：三嶋
,西武 13 - 2 巨人,メットライフ 18:00,,勝：十亀 敗：池田
,ロッテ 9 - 5 中日,ZOZOマリン 18:15,,勝：大嶺祐 敗：鈴木
,オリックス 2 - 3 阪神,京セラD大阪 18:00,,勝：メッセンジャー 敗：ディクソン
,ソフトバンク 15 - 0 ヤクルト,ヤフオクドーム 18:00,,勝：中田 敗：中尾
6/9（金）,日本ハム 1 - 2 巨人,札幌ドーム 18:00,,勝：マイコラス 敗：高梨
,楽天 3 - 12 広島,Koboパーク宮城 18:00,,勝：ジョンソン 敗：戸村
,西武 3 - 4 DeNA,メットライフ 18:00,,勝：パットン 敗：増田
,ロッテ 6 - 1 ヤクルト,ZOZOマリン 18:30,,勝：涌井 敗：原樹
,オリックス 4 - 2 中日,京セラD大阪 18:00,,勝：黒木 敗：田島
,ソフトバンク 3 - 0 阪神,ヤフオクドーム 18:00,,勝：バンデンハーク 敗：岩貞
6/10（土）,日本ハム 3 - 2 巨人,札幌ドーム 18:00,,勝：鍵谷 敗：田原
,楽天 2 - 1 広島,Koboパーク宮城 14:00,,勝：美馬 敗：野村
,西武 6 - 2 DeNA,メットライフ 14:00,,勝：ガルセス 敗：平良
,ロッテ 4 - 1 ヤクルト,ZOZOマリン 14:00,,勝：二木 敗：石山
,オリックス 5 - 3 中日,京セラD大阪 14:00,,勝：吉田一 敗：柳
,ソフトバンク 1 - 5 阪神,ヤフオクドーム 14:00,,勝：青柳 敗：松本裕
6/11（日）,日本ハム 5 - 1 巨人,札幌ドーム 14:00,,勝：村田 敗：宮國
,楽天 4 - 3 広島,Koboパーク宮城 13:00,,勝：ハーマン 敗：ジャクソン
,西武 1 - 0 DeNA,メットライフ 13:00,,勝：ウルフ 敗：今永
,ロッテ 6 - 9 ヤクルト,ZOZOマリン 14:00,,勝：ブキャナン 敗：佐々木
,オリックス 0 - 4 中日,京セラD大阪 13:00,,勝：バルデス 敗：山岡
,ソフトバンク 5 - 2 阪神,ヤフオクドーム 13:00,,勝：山田 敗：小野
6/12（月）,,,,
6/13（火）,巨人 5 - 1 ソフトバンク,東京ドーム 18:00,,勝：菅野 敗：東浜
,ヤクルト 3 - 12 楽天,神　宮 18:00,,勝：釜田 敗：石川
,DeNA 1 - 8 ロッテ,横　浜 18:00,,勝：石川 敗：石田
,中日 7 - 5 日本ハム,ナゴヤドーム 18:00,,勝：岩瀬 敗：マーティン
,阪神 7 - 2 西武,甲子園 18:00,,勝：秋山 敗：野上
,広島 1 - 0 オリックス,三　次 18:00,,勝：薮田 敗：金子千尋
6/14（水）,巨人 3 - 0 ソフトバンク,東京ドーム 18:00,,勝：山口俊 敗：石川
,ヤクルト 3 - 2 楽天,神　宮 18:00,,勝：由規 敗：安樂
,DeNA 5 - 2 ロッテ,横　浜 18:00,,勝：濵口 敗：チェン・グァンユウ
,中日 5 - 7 日本ハム,ナゴヤドーム 18:00,,勝：公文 敗：田島
,阪神 2 - 4 西武,甲子園 18:00,,勝：岡本 敗：能見
,広島 7 - 6 オリックス,マツダスタジアム 18:00,,勝：九里 敗：佐藤達
6/15（木）,巨人 3 - 7 ソフトバンク,東京ドーム 18:00,,勝：岩嵜 敗：内海
,ヤクルト 6 - 2 楽天,神　宮 18:00,,勝：原樹 敗：則本
,DeNA 6 - 2 ロッテ,横　浜 18:00,,勝：熊原 敗：唐川
,中日 4 - 5 日本ハム,ナゴヤドーム 18:00,,勝：宮西 敗：ジョーダン
,阪神 3 - 2 西武,甲子園 18:00,,勝：髙橋 敗：シュリッター
,広島 7 - 2 オリックス,マツダスタジアム 18:00,,勝：岡田 敗：ディクソン
6/16（金）,巨人 8 - 0 ロッテ,東京ドーム 18:00,,勝：マイコラス 敗：涌井
,ヤクルト 8 - 5 日本ハム,神　宮 18:00,,勝：ルーキ 敗：鍵谷
,DeNA 6 - 3 オリックス,横　浜 18:00,,勝：三上 敗：黒木
,中日 1 - 9 西武,ナゴヤドーム 18:00,,勝：菊池 敗：小笠原
,阪神 4 - 2 楽天,甲子園 18:00,,勝：岩貞 敗：藤平
,広島 3 - 5 ソフトバンク,マツダスタジアム 18:00,,勝：バンデンハーク 敗：ジョンソン
6/17（土）,巨人 8 - 0 ロッテ,東京ドーム 18:00,,勝：田口 敗：二木
,ヤクルト 5 - 0 日本ハム,神　宮 14:00,,勝：ブキャナン 敗：メンドーサ
,DeNA 14 - 5 オリックス,横　浜 14:00,,勝：久保 敗：松葉
,中日 4 - 1 西武,ナゴヤドーム 14:00,,勝：バルデス 敗：ガルセス
,阪神 2 - 8 楽天,甲子園 14:00,,勝：福山 敗：マテオ
,広島 3 - 2 ソフトバンク,マツダスタジアム 14:00,,勝：中﨑 敗：岩嵜
6/18（日）,巨人 7 - 5 ロッテ,東京ドーム 14:00,,勝：高木勇 敗：大嶺祐
,ヤクルト 3 - 6 日本ハム,神　宮 13:00,,勝：有原 敗：石川
,DeNA ノーゲーム オリックス,横　浜 13:00,,
,中日 4 - 3 西武,ナゴヤドーム 14:00,,勝：柳 敗：牧田
,阪神 0 - 1 楽天,甲子園 14:00,,勝：岸 敗：小野
,広島 4 - 7 ソフトバンク,マツダスタジアム 13:30,,勝：岡本 敗：中村祐
6/19（月）,DeNA 4 - 7 オリックス,横　浜 18:00,,勝：黒木 敗：三上
6/20（火）,,,,
6/21（水）,,,,
6/22（木）,,,,
6/23（金）,巨人 0 - 1 中日,東京ドーム 18:00,,勝：バルデス 敗：菅野
,ヤクルト 8 - 7 DeNA,神　宮 18:00,,勝：石山 敗：平田
,広島 13 - 3 阪神,マツダスタジアム 18:00,,勝：ジョンソン 敗：メッセンジャー
,日本ハム 7 - 3 楽天,札幌ドーム 18:00,,勝：公文 敗：安樂
,オリックス 3 - 9 ロッテ,ほっと神戸 18:00,,勝：涌井 敗：山岡
