月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
4/1（土）,巨人 4 - 2 中日,東京ドーム 14:00,,勝：山口鉄 敗：田島
,ヤクルト 1 - 6 DeNA,神　宮 14:00,,勝：クライン 敗：小川
,広島 9 - 8 阪神,マツダスタジアム 14:00,,勝：中﨑 敗：ドリス
,日本ハム 3 - 1 西武,札幌ドーム 14:00,,勝：メンドーサ 敗：野上
,オリックス 4 - 13 楽天,京セラD大阪 14:00,,勝：辛島 敗：コーク
,ソフトバンク 4 - 1 ロッテ,ヤフオクドーム 13:00,,勝：中田 敗：西野
4/2（日）,巨人 6 - 3 中日,東京ドーム 14:00,,勝：大竹寛 敗：吉見
,ヤクルト 8 - 4 DeNA,神　宮 13:00,,勝：秋吉 敗：田中健
,広島 9 - 1 阪神,マツダスタジアム 13:30,,勝：九里 敗：能見
,日本ハム 3 - 6 西武,札幌ドーム 14:00,,勝：ウルフ 敗：エスコバー
,オリックス 4 - 5 楽天,京セラD大阪 13:00,,勝：福山 敗：平野
,ソフトバンク 5 - 3 ロッテ,ヤフオクドーム 13:00,,勝：五十嵐 敗：唐川
4/3（月）,,,,
4/4（火）,DeNA 2 - 5 巨人,横　浜 18:30,,勝：菅野 敗：三上
,中日 1 - 7 広島,ナゴヤドーム 18:15,,勝：野村 敗：若松
,阪神 1 - 3 ヤクルト,京セラD大阪 18:00,,勝：ブキャナン 敗：藤浪
,楽天 7 - 1 ソフトバンク,Koboパーク宮城 16:00,,勝：則本 敗：千賀
,西武 3 - 7 オリックス,メットライフ 18:00,,勝：ディクソン 敗：多和田
,ロッテ 1 - 6 日本ハム,ZOZOマリン 18:30,,勝：高梨 敗：石川
4/5（水）,DeNA 2 - 4 巨人,横　浜 18:00,,勝：内海 敗：井納
,中日 3 - 3 広島,ナゴヤドーム 18:00,,分：三ツ間 分：中田
,阪神 4 - 1 ヤクルト,京セラD大阪 18:00,,勝：桑原 敗：ルーキ
,楽天 4 - 15 ソフトバンク,Koboパーク宮城 13:00,,勝：武田 敗：釜田
,西武 0 - 2 オリックス,メットライフ 14:00,,勝：松葉 敗：髙橋光
,ロッテ 7 - 6 日本ハム,ZOZOマリン 14:00,,勝：大嶺祐 敗：宮西
4/6（木）,DeNA 4 - 2 巨人,横　浜 18:00,,勝：パットン 敗：山口鉄
,中日 3 - 5 広島,ナゴヤドーム 18:00,,勝：薮田 敗：岡田
,阪神 5 - 4 ヤクルト,京セラD大阪 18:00,,勝：藤川 敗：杉浦
,楽天 3 - 1 ソフトバンク,Koboパーク宮城 13:00,,勝：高梨 敗：バンデンハーク
,ロッテ 5 - 1 日本ハム,ZOZOマリン 14:00,,勝：佐々木 敗：斎藤佑樹
4/7（金）,中日 7 - 5 DeNA,ナゴヤドーム 18:00,,勝：又吉 敗：須田
,阪神 3 - 5 巨人,甲子園 18:00,,勝：マイコラス 敗：岩貞
,広島 4 - 1 ヤクルト,マツダスタジアム 18:00,,勝：加藤 敗：石川
,西武 2 - 4 ソフトバンク,メットライフ 18:00,,勝：和田 敗：菊池
,オリックス 4 - 2 日本ハム,ほっと神戸 18:00,,勝：金子千尋 敗：上沢
4/8（土）,中日 1 - 1 DeNA,ナゴヤドーム 14:00,,分：佐藤 分：山﨑康
,阪神 ノーゲーム 巨人,甲子園 14:00,,
,広島 2 - 1 ヤクルト,マツダスタジアム 14:00,,勝：岡田 敗：小川
,西武 6 - 1 ソフトバンク,メットライフ 14:00,,勝：野上 敗：中田
,ロッテ 4 - 7 楽天,ZOZOマリン 14:00,,勝：美馬 敗：涌井
,オリックス 8 - 1 日本ハム,京セラD大阪 14:00,,勝：コーク 敗：有原
4/9（日）,中日 1 - 2 DeNA,ナゴヤドーム 14:00,,勝：濵口 敗：吉見
,阪神 4 - 3 巨人,甲子園 14:00,,勝：マテオ 敗：森福
,広島 6 - 2 ヤクルト,マツダスタジアム 13:30,,勝：九里 敗：星
,西武 4 - 2 ソフトバンク,メットライフ 13:00,,勝：ウルフ 敗：東浜
,ロッテ 1 - 4 楽天,ZOZOマリン 13:00,,勝：岸 敗：唐川
,オリックス 2 - 0 日本ハム,京セラD大阪 14:00,,勝：西 敗：メンドーサ
4/10（月）,,,,
4/11（火）,巨人 6 - 9 広島,東京ドーム 18:00,,勝：中田 敗：森福
,ヤクルト 中止 中日,神　宮 18:00,,
,DeNA 中止 阪神,横　浜 18:00,,
,日本ハム 0 - 3 ソフトバンク,札幌ドーム 18:00,,勝：千賀 敗：高梨
,楽天 中止 西武,郡　山 15:30,,
,オリックス 11 - 1 ロッテ,京セラD大阪 18:00,,勝：ディクソン 敗：石川
4/12（水）,巨人 5 - 9 広島,東京ドーム 18:00,,勝：床田 敗：内海
,ヤクルト 2 - 5 中日,神　宮 18:00,,勝：三ツ間 敗：星
,DeNA 6 - 8 阪神,横　浜 18:00,,勝：秋山 敗：今永
,日本ハム 4 - 3 ソフトバンク,札幌ドーム 18:00,,勝：加藤 敗：武田
,楽天 5 - 10 西武,Koboパーク宮城 16:00,,勝：大石 敗：則本
,オリックス 4 - 6 ロッテ,京セラD大阪 18:00,,勝：スタンリッジ 敗：松葉
4/13（木）,巨人 5 - 11 広島,東京ドーム 18:00,,勝：ブレイシア 敗：カミネロ
,ヤクルト 3 - 2 中日,神　宮 18:00,,勝：秋吉 敗：岩瀬
,DeNA 1 - 4 阪神,横　浜 18:00,,勝：藤浪 敗：山﨑康
,日本ハム 3 - 2 ソフトバンク,札幌ドーム 18:00,,勝：鍵谷 敗：バンデンハーク
,オリックス 2 - 3 ロッテ,京セラD大阪 18:00,,勝：西野 敗：山岡
4/14（金）,DeNA 4 - 3 ヤクルト,横　浜 18:00,,勝：パットン 敗：ルーキ
,中日 3 - 2 巨人,ナゴヤドーム 18:00,,勝：佐藤 敗：宮國
,阪神 4 - 2 広島,甲子園 18:00,,勝：メッセンジャー 敗：加藤
,楽天 3 - 2 日本ハム,Koboパーク宮城 18:00,,勝：釜田 敗：吉田
,ロッテ 2 - 3 西武,ZOZOマリン 18:30,,勝：大石 敗：益田
,ソフトバンク 0 - 9 オリックス,ヤフオクドーム 18:00,,勝：金子千尋 敗：中田
4/15（土）,DeNA 2 - 7 ヤクルト,横　浜 14:00,,勝：小川 敗：石田
,中日 2 - 6 巨人,ナゴヤドーム 14:00,,勝：田口 敗：若松
,阪神 1 - 7 広島,甲子園 14:00,,勝：岡田 敗：青柳
,楽天 4 - 2 日本ハム,Koboパーク宮城 14:00,,勝：美馬 敗：有原
,ロッテ 1 - 0 西武,ZOZOマリン 14:00,,勝：涌井 敗：野上
,ソフトバンク 6 - 7 オリックス,ヤフオクドーム 14:00,,勝：山﨑福 敗：石川
4/16（日）,DeNA 6 - 3 ヤクルト,横　浜 13:00,,勝：クライン 敗：オーレンドルフ
,中日 0 - 2 巨人,ナゴヤドーム 14:00,,勝：大竹寛 敗：吉見
,阪神 2 - 1 広島,甲子園 14:00,,勝：マテオ 敗：九里
,楽天 4 - 3 日本ハム,Koboパーク宮城 13:00,,勝：松井裕 敗：鍵谷
,ロッテ 2 - 10 西武,ZOZOマリン 13:00,,勝：ウルフ 敗：唐川
,ソフトバンク 中止 オリックス,鹿児島 14:00,,
4/17（月）,,,,
4/18（火）,巨人 3 - 0 ヤクルト,熊　本 18:00,,勝：菅野 敗：山中
,中日 1 - 3 阪神,ナゴヤドーム 18:00,,勝：岩貞 敗：岩瀬
,広島 4 - 3 DeNA,マツダスタジアム 18:00,,勝：中田 敗：パットン
,日本ハム 1 - 3 オリックス,静　岡 18:00,,勝：ディクソン 敗：高梨
,西武 0 - 2 楽天,県営大宮 18:00,,勝：辛島 敗：髙橋光
,ロッテ 3 - 10 ソフトバンク,ZOZOマリン 18:15,,勝：千賀 敗：石川
4/19（水）,巨人 1 - 0 ヤクルト,鹿児島 18:00,,勝：篠原 敗：ブキャナン
,中日 4 - 3 阪神,ナゴヤドーム 18:00,,勝：田島 敗：松田
,広島 0 - 4 DeNA,マツダスタジアム 18:00,,勝：今永 敗：床田
,西武 5 - 4 楽天,メットライフ 18:00,,勝：武隈 敗：森原
,ロッテ 0 - 2 ソフトバンク,ZOZOマリン 18:15,,勝：東浜 敗：スタンリッジ
4/20（木）,中日 5 - 2 阪神,ナゴヤドーム 18:00,,勝：祖父江 敗：青柳
,広島 3 - 5 DeNA,マツダスタジアム 18:00,,勝：三上 敗：今村
,日本ハム 4 - 8 オリックス,東京ドーム 18:00,,勝：金子千尋 敗：加藤
,ロッテ 0 - 4 ソフトバンク,ZOZOマリン 18:15,,勝：バンデンハーク 敗：佐々木
4/21（金）,巨人 1 - 4 阪神,東京ドーム 18:00,,勝：メッセンジャー 敗：マイコラス
,ヤクルト 3 - 1 広島,神　宮 18:00,,勝：石川 敗：加藤
,DeNA 2 - 2 中日,横　浜 18:00,,分：山﨑康 分：田島
,西武 9 - 0 日本ハム,メットライフ 18:00,,勝：菊池 敗：上沢
,ソフトバンク 4 - 3 楽天,ヤフオクドーム 18:00,,勝：五十嵐 敗：青山
4/22（土）,巨人 4 - 1 阪神,東京ドーム 14:00,,勝：田口 敗：能見
,ヤクルト 1 - 0 広島,神　宮 18:00,,勝：小川 敗：岡田
,DeNA 11 - 4 中日,横　浜 14:00,,勝：石田 敗：若松
,西武 9 - 1 日本ハム,メットライフ 14:00,,勝：野上 敗：有原
,ロッテ 3 - 4 オリックス,ZOZOマリン 14:00,,勝：西 敗：涌井
,ソフトバンク 2 - 11 楽天,ヤフオクドーム 18:00,,勝：美馬 敗：大隣
4/23（日）,巨人 1 - 2 阪神,東京ドーム 14:00,,勝：横山 敗：内海
,ヤクルト 4 - 7 広島,神　宮 18:00,,勝：一岡 敗：石山
,DeNA 0 - 1 中日,横　浜 13:00,,勝：バルデス 敗：クライン
,西武 12 - 3 日本ハム,メットライフ 13:00,,勝：武隈 敗：メンドーサ
,ロッテ 2 - 0 オリックス,ZOZOマリン 13:00,,勝：唐川 敗：山岡
,ソフトバンク 1 - 2 楽天,ヤフオクドーム 13:00,,勝：戸村 敗：寺原
4/24（月）,,,,
4/25（火）,中日 4 - 2 ヤクルト,豊　橋 18:00,,勝：ジョーダン 敗：山中
,阪神 0 - 1 DeNA,甲子園 18:00,,勝：濵口 敗：秋山
,広島 0 - 1 巨人,マツダスタジアム 18:00,,勝：菅野 敗：野村
,楽天 4 - 2 ロッテ,東京ドーム 18:00,,勝：辛島 敗：西野
,オリックス 5 - 4 西武,ほっと神戸 18:00,,勝：ディクソン 敗：多和田
,ソフトバンク 7 - 5 日本ハム,北九州 18:00,,勝：千賀 敗：谷元
4/26（水）,中日 7 - 8 ヤクルト,ナゴヤドーム 18:00,,勝：秋吉 敗：岩瀬
,阪神 中止 DeNA,甲子園 18:00,,
,広島 7 - 6 巨人,マツダスタジアム 18:00,,勝：福井 敗：大竹寛
