月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
5/1（火）,ヤクルト 5 - 6 中日,神　宮 18:00,,勝：谷元 敗：秋吉
,阪神 7 - 1 DeNA,甲子園 18:00,,勝：秋山 敗：今永
,広島 6 - 4 巨人,マツダスタジアム 18:00,,勝：中村祐 敗：山口俊
,ロッテ 1 - 3 ソフトバンク,ZOZOマリン 18:15,,勝：千賀 敗：石川
,オリックス 4 - 2 西武,京セラD大阪 18:00,,勝：アルバース 敗：高木勇
5/2（水）,ヤクルト 3 - 6 中日,神　宮 18:00,,勝：伊藤準 敗：原
,阪神 中止 DeNA,甲子園 18:00,,
,広島 中止 巨人,マツダスタジアム 18:00,,
,日本ハム 0 - 1 楽天,札幌ドーム 18:00,,勝：岸 敗：上沢
,ロッテ 3 - 8 ソフトバンク,ZOZOマリン 18:15,,勝：バンデンハーク 敗：大隣
,オリックス 6 - 5 西武,京セラD大阪 18:00,,勝：吉田一 敗：平井
5/3（木）,ヤクルト 7 - 6 中日,神　宮 14:00,,勝：石山 敗：田島
,阪神 4 - 2 DeNA,甲子園 14:00,,勝：メッセンジャー 敗：東
,広島 3 - 2 巨人,マツダスタジアム 13:30,,勝：岡田 敗：マシソン
,日本ハム 4 - 1 楽天,札幌ドーム 14:00,,勝：高梨 敗：辛島
,ロッテ 3 - 5 ソフトバンク,ZOZOマリン 14:00,,勝：石川 敗：涌井
,オリックス 0 - 8 西武,京セラD大阪 13:00,,勝：十亀 敗：金子千尋
5/4（金）,ヤクルト 8 - 0 広島,神　宮 18:00,,勝：ブキャナン 敗：ジョンソン
,DeNA 0 - 0 巨人,横　浜 17:00,,分：砂田 分：宮國
,阪神 1 - 5 中日,甲子園 14:00,,勝：谷元 敗：藤川
,日本ハム 3 - 6 ロッテ,札幌ドーム 18:00,,勝：ボルシンガー 敗：村田
,楽天 5 - 6 西武,楽天生命パーク 18:00,,勝：ワグナー 敗：松井
,ソフトバンク 4 - 5 オリックス,ヤフオクドーム 18:00,,勝：澤田 敗：森
5/5（土）,ヤクルト 1 - 10 広島,神　宮 18:00,,勝：大瀬良 敗：梅野
,DeNA 3 - 8 巨人,横　浜 14:00,,勝：田口 敗：ウィーランド
,阪神 7 - 2 中日,甲子園 14:00,,勝：小野 敗：ガルシア
,日本ハム 6 - 4 ロッテ,札幌ドーム 14:00,,勝：有原 敗：唐川
,楽天 4 - 10 西武,楽天生命パーク 14:00,,勝：多和田 敗：則本
,ソフトバンク 3 - 0 オリックス,ヤフオクドーム 14:00,,勝：武田 敗：山岡
5/6（日）,ヤクルト 4 - 3 広島,神　宮 18:00,,勝：中尾 敗：一岡
,DeNA 12 - 8 巨人,横　浜 13:00,,勝：京山 敗：野上
