月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
7/1（月）,,,,
7/2（火）,巨人 6 - 0 中日,東京ドーム 18:00,,勝：菅野 敗：清水
,DeNA 4 - 0 阪神,横　浜 18:00,,勝：上茶谷 敗：西
,広島 1 - 3 ヤクルト,マツダスタジアム 18:00,,勝：小川 敗：九里
,日本ハム 9 - 1 西武,札幌ドーム 18:00,,勝：加藤 敗：髙橋光
,オリックス 6 - 5 ロッテ,京セラD大阪 18:00,,勝：エップラー 敗：田中
,ソフトバンク 8 - 6 楽天,ヤフオクドーム 18:00,,勝：モイネロ 敗：ブセニッツ
7/3（水）,巨人 7 - 6 中日,東京ドーム 18:00,,勝：中川 敗：ロドリゲス
,DeNA 3 - 4 阪神,横　浜 18:00,,勝：島本 敗：武藤
,広島 2 - 6 ヤクルト,マツダスタジアム 18:00,,勝：寺原 敗：ローレンス
,日本ハム 5 - 3 西武,札幌ドーム 18:00,,勝：玉井 敗：十亀
,オリックス 6 - 12 ロッテ,京セラD大阪 18:00,,勝：ボルシンガー 敗：荒西
,ソフトバンク 4 - 1 楽天,ヤフオクドーム 18:00,,勝：和田 敗：岸
7/4（木）,巨人 5 - 3 中日,東京ドーム 18:00,,勝：今村 敗：ロメロ
,DeNA 7 - 2 阪神,横　浜 18:00,,勝：大貫 敗：メッセンジャー
,広島 2 - 7 ヤクルト,マツダスタジアム 18:00,,勝：高橋 敗：ジョンソン
,日本ハム 2 - 8 西武,札幌ドーム 18:00,,勝：ニール 敗：吉川
,オリックス 4 - 2 ロッテ,京セラD大阪 18:00,,勝：田嶋 敗：小島
,ソフトバンク 6 - 3 楽天,ヤフオクドーム 18:00,,勝：千賀 敗：辛島
7/5（金）,巨人 8 - 4 DeNA,東京ドーム 18:00,,勝：山口 敗：今永
,中日 中止 ヤクルト,浜　松 18:00,,
,阪神 3 - 1 広島,甲子園 18:00,,勝：岩田 敗：大瀬良
,楽天 2 - 4 日本ハム,楽天生命パーク 18:00,,勝：有原 敗：塩見
,ロッテ 4 - 2 西武,ZOZOマリン 18:15,,勝：二木 敗：今井
,オリックス 2 - 6 ソフトバンク,ほっと神戸 18:00,,勝：二保 敗：山本
7/6（土）,巨人 4 - 3 DeNA,東京ドーム 18:00,,勝：メルセデス 敗：平良
,中日 1 - 3 ヤクルト,ナゴヤドーム 18:00,,勝：石川 敗：大野雄
,阪神 8 - 5 広島,甲子園 18:00,,勝：島本 敗：アドゥワ
,楽天 0 - 1 日本ハム,楽天生命パーク 16:00,,勝：玉井 敗：松井
,ロッテ 0 - 5 西武,ZOZOマリン 14:00,,勝：本田 敗：涌井
,オリックス 5 - 6 ソフトバンク,ほっと神戸 18:00,,勝：椎野 敗：エップラー
7/7（日）,巨人 4 - 6 DeNA,東京ドーム 14:00,,勝：三嶋 敗：鍬原
