月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
9/1（木）,広島 6 - 5 DeNA,マツダスタジアム 18:00,,勝：中　﨑 敗：田　中
,日本ハム 8 - 0 楽天,東京ドーム 18:30,,勝：増　井 敗：美　馬
,西武 2 - 9 ソフトバンク,西武プリンス 18:00,,勝：東　浜 敗：十　亀
,ロッテ 6 - 4 オリックス,QVCマリン 18:15,,勝：チェン・グァンユウ 敗：山　田
9/2（金）,巨人 7 - 8 中日,東京ドーム 18:00,,勝：又　吉 敗：内　海
,ヤクルト 2 - 5 広島,神　宮 18:00,,勝：野　村 敗：石　川
,阪神 3 - 5 DeNA,甲子園 18:00,,勝：石　田 敗：秋　山
,楽天 6 - 8 ソフトバンク,Koboスタ宮城 18:00,,勝：スアレス 敗：松井裕
,ロッテ 1 - 1 西武,QVCマリン 18:30,,分：高　野 分：牧　田
,オリックス 5 - 2 日本ハム,ほっと神戸 18:00,,勝：松　葉 敗：有　原
9/3（土）,巨人 1 - 5 中日,東京ドーム 14:00,,勝：小　熊 敗：大竹寛
,ヤクルト 3 - 1 広島,神　宮 17:00,,勝：デイビーズ 敗：黒　田
,阪神 2 - 3 DeNA,甲子園 18:00,,勝：山　口 敗：藤　川
,楽天 1 - 7 ソフトバンク,Koboスタ宮城 14:00,,勝：千　賀 敗：安　樂
,ロッテ 9 - 8 西武,QVCマリン 17:00,,勝：関　谷 敗：　誠
,オリックス 4 - 12 日本ハム,ほっと神戸 18:00,,勝：高　梨 敗：ディクソン
9/4（日）,巨人 3 - 5 中日,東京ドーム 14:00,,勝：小笠原 敗：マイコラス
,ヤクルト 3 - 4 広島,神　宮 17:00,,勝：ヘーゲンズ 敗：山　中
,阪神 3 - 1 DeNA,甲子園 18:00,,勝：岩　貞 敗：田　中
,楽天 5 - 1 ソフトバンク,Koboスタ宮城 13:00,,勝：辛　島 敗：山　田
,ロッテ 2 - 4 西武,QVCマリン 17:00,,勝：ウルフ 敗：涌　井
,オリックス 7 - 7 日本ハム,ほっと神戸 13:00,,分：赤　間 分：鍵　谷
9/5（月）,,,,
9/6（火）,DeNA 6 - 1 ヤクルト,横　浜 18:00,,勝：井　納 敗：由　規
,阪神 2 - 4 巨人,甲子園 18:00,,勝：菅　野 敗：藤　浪
,広島 4 - 1 中日,マツダスタジアム 18:00,,勝：ジョンソン 敗：大　野
,日本ハム 中止 ロッテ,旭　川 18:00,,
,楽天 7 - 4 西武,Koboスタ宮城 18:00,,勝：福　山 敗：武　隈
,ソフトバンク 1 - 2 オリックス,ヤフオクドーム 18:00,,勝：　西 敗：武　田
9/7（水）,DeNA 7 - 3 ヤクルト,横　浜 18:00,,勝：三　嶋 敗：小　川
,阪神 2 - 3 巨人,甲子園 18:00,,勝：田　口 敗：メッセンジャー
,広島 5 - 0 中日,マツダスタジアム 18:00,,勝：薮　田 敗：吉　見
,日本ハム 4 - 4 ロッテ,札幌ドーム 18:00,,分：井　口 分：松　永
,楽天 1 - 14 西武,Koboスタ宮城 18:00,,勝：多和田 敗：塩　見
,ソフトバンク 2 - 1 オリックス,ヤフオクドーム 18:00,,勝：中　田 敗：山　田
9/8（木）,DeNA 3 - 5 ヤクルト,横　浜 18:00,,勝：村　中 敗：田　中
,阪神 1 - 3 巨人,甲子園 18:00,,勝：内　海 敗：青　柳
,広島 7 - 4 中日,マツダスタジアム 18:00,,勝：野　村 敗：ジョーダン
,西武 2 - 8 ロッテ,西武プリンス 18:00,,勝：石　川 敗：　郭
,オリックス 4 - 2 ソフトバンク,京セラD大阪 18:00,,勝：海　田 敗：和　田
9/9（金）,ヤクルト 2 - 5 巨人,神　宮 18:00,,勝：大竹寛 敗：デイビーズ
,楽天 2 - 8 日本ハム,Koboスタ宮城 18:00,,勝：増　井 敗：則　本
,西武 8 - 1 ロッテ,西武プリンス 18:00,,勝：菊　池 敗：関　谷
,オリックス 4 - 3 ソフトバンク,京セラD大阪 18:00,,勝：佐藤達 敗：森　福
9/10（土）,巨人 4 - 6 広島,東京ドーム 18:00,,勝：黒　田 敗：マイコラス
,ヤクルト 9 - 1 阪神,神　宮 18:00,,勝：杉　浦 敗：能　見
,中日 0 - 1 DeNA,ナゴヤドーム 18:00,,勝：山　口 敗：バルデス
,楽天 4 - 7 日本ハム,Koboスタ宮城 14:00,,勝：バース 敗：安　樂
,ソフトバンク 2 - 7 西武,ヤフオクドーム 18:00,,勝：ウルフ 敗：千　賀
9/11（日）,巨人 8 - 0 広島,東京ドーム 14:00,,勝：高　木 敗：ヘーゲンズ
,ヤクルト 0 - 5 阪神,神　宮 18:00,,勝：岩　貞 敗：山　中
,中日 4 - 2 DeNA,ナゴヤドーム 14:00,,勝：又　吉 敗：三　上
,楽天 9 - 4 日本ハム,Koboスタ宮城 13:00,,勝：辛　島 敗：加　藤
,オリックス 4 - 3 ロッテ,京セラD大阪 14:00,,勝：平　野 敗：益　田
,ソフトバンク 8 - 5 西武,ヤフオクドーム 14:00,,勝：攝　津 敗：佐　野
9/12（月）,楽天 11 - 2 オリックス,Koboスタ宮城 18:00,,勝：美　馬 敗：赤　間
9/13（火）,ヤクルト 3 - 11 DeNA,神　宮 18:00,,勝：今　永 敗：小　川
,中日 0 - 4 広島,ナゴヤドーム 18:00,,勝：ジョンソン 敗：大　野
,日本ハム 4 - 2 オリックス,札幌ドーム 18:00,,勝：バース 敗：　西
,楽天 中止 ソフトバンク,Koboスタ宮城 18:00,,
9/14（水）,ヤクルト 3 - 2 DeNA,神　宮 18:00,,勝：石　川 敗：井　納
,中日 5 - 4 巨人,ナゴヤドーム 18:00,,勝：又　吉 敗：田原誠
,阪神 4 - 6 広島,甲子園 18:00,,勝：九　里 敗：サターホワイト
,日本ハム 1 - 11 オリックス,札幌ドーム 18:00,,勝：松　葉 敗：有　原
,楽天 0 - 13 ソフトバンク,Koboスタ宮城 18:00,,勝：武　田 敗：菊　池
,ロッテ 1 - 2 西武,QVCマリン 18:15,,勝：　岸 敗：　内
9/15（木）,阪神 6 - 8 DeNA,甲子園 18:00,,勝：須　田 敗：メッセンジャー
,広島 5 - 0 巨人,マツダスタジアム 18:00,,勝：岡　田 敗：田　口
,日本ハム 1 - 5 オリックス,札幌ドーム 18:00,,勝：金子千尋 敗：メンドーサ
,楽天 0 - 3 ロッテ,Koboスタ宮城 18:00,,勝：石　川 敗：塩　見
9/16（金）,巨人 6 - 4 ヤクルト,東京ドーム 18:00,,勝：内　海 敗：デイビーズ
,阪神 2 - 1 DeNA,甲子園 18:00,,勝：秋　山 敗：三　浦
,広島 8 - 0 中日,マツダスタジアム 18:00,,勝：野　村 敗：バルデス
9/17（土）,巨人 2 - 5 ヤクルト,東京ドーム 14:00,,勝：村　中 敗：大竹寛
,阪神 3 - 6 DeNA,甲子園 14:00,,勝：モスコーソ 敗：能　見
,広島 3 - 5 中日,マツダスタジアム 13:30,,勝：小　熊 敗：ヘーゲンズ
,日本ハム 14 - 6 ロッテ,札幌ドーム 18:00,,勝：増　井 敗：関　谷
,西武 3 - 1 楽天,西武プリンス 18:00,,勝：菊　池 敗：則　本
,ソフトバンク 6 - 3 オリックス,ヤフオクドーム 18:00,,勝：和　田 敗：ディクソン
9/18（日）,ヤクルト 1 - 8 中日,神　宮 18:00,,勝：小笠原 敗：山　中
,DeNA 6 - 3 広島,横　浜 17:00,,勝：田　中 敗：大瀬良
,阪神 中止 巨人,甲子園 14:00,,
,日本ハム 4 - 2 ロッテ,札幌ドーム 14:00,,勝：高　梨 敗：涌　井
,西武 2 - 10 楽天,西武プリンス 14:00,,勝：安　樂 敗：本　田
,ソフトバンク 8 - 5 オリックス,ヤフオクドーム 14:00,,勝：バンデンハーク 敗：山　田
9/19（月）,DeNA 3 - 1 広島,横　浜 13:00,,勝：今　永 敗：塹　江
,阪神 4 - 1 巨人,甲子園 14:00,,勝：岩　貞 敗：高　木
,日本ハム 3 - 1 ロッテ,札幌ドーム 14:00,,勝：加　藤 敗：二　木
,西武 5 - 2 楽天,西武プリンス 13:00,,勝：多和田 敗：辛　島
,ソフトバンク 3 - 3 オリックス,ヤフオクドーム 14:00,,分：岩　嵜 分：岸　田
9/20（火）,阪神 中止 巨人,甲子園 18:00,,
,ロッテ 中止 楽天,QVCマリン 18:15,,
,オリックス 1 - 11 西武,京セラD大阪 18:00,,勝：野　上 敗：青　山
9/21（水）,巨人 5 - 2 中日,東京ドーム 18:00,,勝：マイコラス 敗：大　野
,ロッテ 2 - 0 楽天,QVCマリン 18:30,,勝：スタンリッジ 敗：美　馬
,オリックス 5 - 2 西武,京セラD大阪 18:00,,勝：吉田一 敗：牧　田
,ソフトバンク 1 - 2 日本ハム,ヤフオクドーム 18:00,,勝：大　谷 敗：千　賀
9/22（木）,巨人 4 - 3 中日,東京ドーム 14:00,,勝：澤　村 敗：田　島
,DeNA 中止 ヤクルト,横　浜 14:00,,
,広島 1 - 4 阪神,マツダスタジアム 14:00,,勝：藤　浪 敗：ジョンソン
,ロッテ 中止 楽天,QVCマリン 14:00,,
,オリックス 3 - 5 西武,京セラD大阪 13:00,,勝：ウルフ 敗：金子千尋
,ソフトバンク 2 - 5 日本ハム,ヤフオクドーム 14:00,,勝：有　原 敗：武　田
9/23（金）,巨人 4 - 12 DeNA,東京ドーム 18:00,,勝：砂　田 敗：田　口
,日本ハム 2 - 4 楽天,札幌ドーム 18:00,,勝：釜　田 敗：メンドーサ
,西武 0 - 8 ソフトバンク,西武プリンス 18:00,,勝：東　浜 敗：菊　池
9/24（土）,DeNA 6 - 5 巨人,横　浜 14:00,,勝：田　中 敗：マシソン
,中日 0 - 2 阪神,ナゴヤドーム 15:00,,勝：メッセンジャー 敗：吉　見
