* 左打+ 左右打,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
,愛斗,7,14,13,0,2,0,0,0,2,3,0,0,0,1,0,0,0,5,2,0.154,0.154,0.143
,伊藤　翔,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,今井　達也,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,呉　念庭,51,52,44,5,10,3,0,0,13,5,2,2,2,0,4,0,2,8,1,0.227,0.295,0.320
*,内海　哲也,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,榎田　大樹,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,岡田　雅利,29,65,56,1,6,1,0,0,7,3,0,0,7,0,1,0,1,7,4,0.107,0.125,0.138
*,小川　龍也,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
+,金子　侑司,86,338,301,41,75,7,0,3,91,21,14,9,5,3,29,0,0,55,5,0.249,0.302,0.312
*,川越　誠司,48,74,64,10,10,0,1,2,18,5,0,0,1,0,9,0,0,24,0,0.156,0.281,0.260
,ギャレット,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,岸　潤一郎,5,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.000,0.000,0.333
,木村　文紀,90,301,264,25,61,12,2,8,101,33,5,4,9,3,18,0,7,75,4,0.231,0.383,0.295
,熊代　聖人,38,11,10,2,1,0,0,0,1,0,2,0,0,0,1,0,0,3,0,0.100,0.100,0.182
*,栗山　巧,111,428,372,37,101,22,0,12,159,67,0,0,0,2,53,2,1,77,10,0.272,0.427,0.362
*,源田　壮亮,120,518,455,67,123,14,5,1,150,21,18,8,22,2,38,0,1,80,6,0.270,0.330,0.327
*,國場　翼,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,齊藤　大将,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,佐野　泰雄,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,スパンジェンバーグ,111,445,407,51,109,26,8,15,196,57,12,2,0,2,32,0,4,150,2,0.268,0.482,0.326
*,鈴木　将平,46,157,140,7,29,4,2,1,40,10,0,2,4,2,10,0,1,24,2,0.207,0.286,0.261
*,平良　海馬,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,高木　渉,12,40,40,6,7,1,1,2,16,5,0,0,0,0,0,0,0,8,2,0.175,0.400,0.175
,髙橋　光成,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,武隈　祥太,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,田村　伊知郎,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,柘植　世那,17,43,38,5,7,0,0,2,13,5,1,0,1,0,4,0,0,14,2,0.184,0.342,0.262
,十亀　剣,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,戸川　大輔,4,9,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111
,外崎　修汰,120,500,433,62,107,18,2,8,153,43,21,7,7,2,54,1,4,87,7,0.247,0.353,0.335
,中塚　駿太,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,中村　剛也,79,297,258,32,55,14,0,9,96,31,0,1,0,2,34,2,3,75,7,0.213,0.372,0.310
,ニール,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,西川　愛也,3,4,4,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.250,0.500,0.250
*,ノリン,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,野田　昇吾,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,浜屋　将太,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,平井　克典,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,本田　圭佑,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,増田　達至,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,松岡　洸希,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,松本　航,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,水口　大地,7,6,6,2,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0.167,0.167,0.167
,宮川　哲,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,メヒア,74,260,237,20,49,13,1,11,97,33,0,0,0,1,20,1,2,82,5,0.207,0.409,0.273
*,森　友哉,104,405,358,46,90,15,2,9,136,38,4,2,2,4,38,0,3,67,7,0.251,0.380,0.325
,森脇　亮介,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,山川　穂高,102,401,322,47,66,7,0,24,145,73,0,0,0,2,64,4,13,100,6,0.205,0.450,0.357
,山田　遥楓,8,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.200,0.200,0.200
,山野辺　翔,53,64,60,11,14,3,0,0,17,4,5,2,0,1,1,0,2,11,2,0.233,0.283,0.266
,與座　海人,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
