* 左打+ 左右打,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
,相内　誠,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,愛斗,42,57,53,7,8,1,0,0,9,3,0,0,1,0,3,2,0,11,2,0.151,0.170,0.196
*,秋山　翔吾,143,678,590,112,179,31,4,20,278,62,12,8,0,1,78,2,9,108,8,0.303,0.471,0.392
,粟津　凱士,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,伊藤　翔,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,今井　達也,23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000
*,榎田　大樹,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,大石　達也,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,岡田　雅利,36,78,61,8,16,3,1,1,24,7,0,0,6,0,9,0,2,12,1,0.262,0.393,0.375
*,小川　龍也,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
+,金子　侑司,133,524,463,60,116,8,1,3,135,33,41,10,6,3,49,1,3,81,3,0.251,0.292,0.324
,木村　文紀,130,441,391,46,86,12,3,10,134,38,16,9,15,6,24,0,5,101,3,0.220,0.343,0.270
,郭　俊麟,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,熊代　聖人,33,17,15,5,4,1,0,0,5,0,2,1,1,0,1,0,0,5,0,0.267,0.333,0.313
*,栗山　巧,123,466,409,35,103,21,0,7,145,54,0,0,3,3,48,2,3,100,13,0.252,0.355,0.333
*,源田　壮亮,135,609,540,90,148,23,6,2,189,41,30,9,25,3,40,0,1,67,9,0.274,0.350,0.324
*,小石　博孝,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,國場　翼,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,駒月　仁人,7,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.143,0.143,0.143
*,斉藤　彰吾,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000
*,齊藤　大将,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
