* 左打+ 左右打,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
,愛斗,9,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0.000,0.000,0.167
*,秋山　翔吾,143,659,575,106,185,38,5,25,308,89,16,5,0,7,72,1,5,97,4,0.322,0.536,0.398
,浅村　栄斗,143,633,574,78,167,34,1,19,260,99,5,1,1,6,44,0,8,96,17,0.291,0.453,0.347
,ウルフ,23,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.000,0.000,0.000
*,呉　念庭,15,44,39,5,9,2,1,0,13,4,1,0,0,1,4,0,0,8,2,0.231,0.333,0.295
*,上本　達之,11,11,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0.100,0.100,0.182
*,大石　達也,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,岡田　雅利,68,172,144,19,33,6,1,0,41,9,0,0,12,0,10,1,6,28,1,0.229,0.285,0.306
,岡本　洋介,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000
*,ガルセス,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
+,金子　侑司,90,320,283,43,77,17,2,5,113,34,25,8,5,4,27,0,1,49,5,0.272,0.399,0.333
,キャンデラリオ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,菊池　雄星,26,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.200,0.200,0.200
*,木村　昇吾,3,7,6,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.167,0.167,0.286
,木村　文紀,105,203,184,26,37,5,1,2,50,13,7,4,4,1,13,0,1,53,5,0.201,0.272,0.256
*,栗山　巧,116,374,333,28,84,13,0,9,124,46,0,0,4,7,27,0,3,64,10,0.252,0.372,0.308
*,源田　壮亮,143,647,575,85,155,18,10,3,202,57,37,10,26,4,36,0,6,100,5,0.270,0.351,0.317
*,小石　博孝,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,斉藤　彰吾,10,8,8,2,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0.125,0.125,0.125
*,坂田　遼,11,19,16,2,7,0,0,2,13,4,0,0,0,0,3,0,0,8,0,0.438,0.813,0.526
*,佐野　泰雄,6,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.500,0.500,0.500
,シュリッター,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,炭谷　銀仁朗,104,310,267,32,67,11,0,5,93,30,2,1,23,4,8,0,8,45,6,0.251,0.348,0.289
,髙橋　光成,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,髙橋　朋己,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
