* 左打+ 左右打,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
,相内　誠,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,愛斗,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
*,秋山　翔吾,143,685,603,107,195,39,8,24,322,82,15,10,0,1,77,4,4,96,3,0.323,0.534,0.403
,浅村　栄斗,143,640,565,104,175,27,0,32,298,127,4,2,0,5,68,4,2,105,18,0.310,0.527,0.383
,伊藤　翔,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,今井　達也,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,ウルフ,14,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0.000,0.000,0.000
*,呉　念庭,8,11,11,1,1,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0.091,0.091,0.091
*,榎田　大樹,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,大石　達也,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,岡田　雅利,52,108,92,10,25,3,0,3,37,7,0,1,7,1,7,0,1,17,3,0.272,0.402,0.327
*,小川　龍也,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,カスティーヨ,20,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000,0.000,0.000
,金子　一輝,6,14,14,3,5,1,0,1,9,2,0,1,0,0,0,0,0,3,1,0.357,0.643,0.357
+,金子　侑司,111,356,310,50,69,7,3,1,85,34,32,11,6,3,34,0,3,53,5,0.223,0.274,0.303
*,菊池　雄星,23,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
,木村　文紀,75,120,104,18,27,5,1,3,43,12,7,3,5,0,10,0,1,33,0,0.260,0.413,0.330
,郭　俊麟,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,熊代　聖人,25,10,9,6,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0.000,0.000,0.100
*,栗山　巧,114,363,305,32,78,18,1,8,122,52,1,0,0,3,52,2,3,78,5,0.256,0.400,0.366
*,源田　壮亮,143,666,594,92,165,27,9,4,222,57,34,8,14,6,48,0,4,101,7,0.278,0.374,0.333
*,小石　博孝,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,斉藤　彰吾,59,104,87,20,21,5,0,1,29,8,4,1,4,1,8,0,4,28,2,0.241,0.333,0.330
*,齊藤　大将,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,佐野　泰雄,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,炭谷　銀仁朗,47,135,129,10,32,8,0,0,40,9,0,0,3,0,2,0,1,30,3,0.248,0.310,0.265
,高木　勇人,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,髙橋　光成,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,髙橋　朋己,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,武隈　祥太,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,田村　伊知郎,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,多和田　真三郎,26,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.000
,十亀　剣,22,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.000,0.000,0.000
,外崎　修汰,119,510,453,70,130,24,3,18,214,67,25,9,6,1,47,0,3,102,9,0.287,0.472,0.357
,豊田　拓矢,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,永江　恭平,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,中塚　駿太,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,中村　剛也,97,392,355,53,94,14,1,28,194,74,1,0,0,2,33,0,2,112,11,0.265,0.546,0.329
*,野田　昇吾,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,ヒース,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,平井　克典,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,本田　圭佑,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,マーティン,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,増田　達至,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
+,松井　稼頭央,30,41,39,8,6,1,0,0,7,2,1,0,0,0,2,0,0,10,1,0.154,0.179,0.195
,松本　直晃,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
*,水口　大地,10,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
,南川　忠亮,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,メヒア,82,234,212,20,45,7,0,9,79,21,0,0,0,1,18,0,3,62,3,0.212,0.373,0.282
*,森　友哉,136,552,473,67,130,34,2,16,216,80,7,2,0,7,70,2,2,105,3,0.275,0.457,0.366
,山川　穂高,143,647,541,115,152,24,1,47,319,124,0,0,0,2,88,2,16,138,5,0.281,0.590,0.396
,山田　遥楓,14,19,17,1,1,0,0,1,4,2,0,0,0,0,1,0,1,6,0,0.059,0.235,0.158
,ワグナー,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
