* 左打+ 左右打,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
*,秋山　翔吾,143,675,602,108,216,36,10,14,314,55,17,17,7,2,60,2,4,78,6,0.359,0.522,0.419
,浅村　栄斗,141,627,537,88,145,19,2,13,207,81,12,9,2,7,69,0,12,136,13,0.270,0.385,0.362
*,岩尾　利弘,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,上本　達之,6,14,13,1,2,0,0,0,2,1,0,0,0,0,1,0,0,2,1,0.154,0.154,0.214
*,大石　達也,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,大崎　雄太朗,47,85,73,2,16,3,0,1,22,9,0,0,2,3,5,1,2,16,0,0.219,0.301,0.277
,岡田　雅利,36,54,50,3,12,0,0,1,15,5,0,0,1,0,3,0,0,10,1,0.240,0.300,0.283
,岡本　篤志,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,岡本　洋介,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,鬼崎　裕司,59,124,107,9,21,5,0,0,26,6,1,0,6,1,10,0,0,23,1,0.196,0.243,0.263
,郭　俊麟,21,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.000,0.000,0.000
+,金子　侑司,57,176,156,22,35,4,3,1,48,6,11,7,10,0,10,0,0,43,0,0.224,0.308,0.271
*,菊池　雄星,23,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0.250,0.500,0.250
,岸　孝之,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,木村　文紀,49,92,82,12,16,4,1,5,37,12,1,0,4,0,4,0,2,28,0,0.195,0.451,0.250
,熊代　聖人,38,41,36,3,4,0,0,0,4,3,1,0,1,1,3,0,0,6,0,0.111,0.111,0.175
*,栗山　巧,142,622,533,66,143,25,0,10,198,42,3,1,8,4,72,0,5,88,15,0.268,0.371,0.358
*,小石　博孝,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,斉藤　彰吾,103,112,96,19,25,5,0,2,36,5,4,2,7,0,5,0,4,35,1,0.260,0.375,0.324
*,坂田　遼,15,42,41,0,6,2,0,0,8,1,0,0,0,0,1,0,0,10,1,0.146,0.195,0.167
*,佐野　泰雄,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,炭谷　銀仁朗,133,443,399,31,84,16,0,4,112,35,0,0,22,2,16,0,4,87,7,0.211,0.281,0.247
+,セラテリ,33,74,60,8,11,1,1,0,14,6,1,0,1,0,12,0,1,21,1,0.183,0.233,0.329
,高橋　光成,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,高橋　朋己,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,武隈　祥太,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,田代　将太郎,7,7,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0.143,0.143,0.143
,田中　靖洋,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,十亀　剣,26,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000
,外崎　修汰,43,110,97,16,18,3,0,1,24,4,9,1,6,0,6,0,1,30,1,0.186,0.247,0.240
,豊田　拓矢,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
*,永江　恭平,54,30,22,6,4,0,1,0,6,4,0,0,5,0,1,0,2,13,0,0.182,0.273,0.280
,中田　祥多,8,12,9,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0.000,0.000,0.182
,中村　剛也,139,599,521,82,145,35,0,37,291,124,1,0,0,3,68,4,7,172,12,0.278,0.559,0.367
,西口　文也,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000
,野上　亮磨,27,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0.000,0.000,0.000
,バスケス,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
,福倉　健太郎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000
